learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007682600058615208,0.01113590004388243,0.01113590004388243,1.2288699001073837,space,1.2025475999107584,None,,,,,,,,,,,,,,,,,820171,001,2024-05-27_01h25.46.807,article1,2024.1.4,None,2024-05-27 01h25.53.428102 +0330,
0,0,0,0,1.2408480000449345,,,,,,,,,1.2297929000342265,1.2408480000449345,2.3075503000291064,2.2245102000888437,2.224525000085123,2.3075503000291064,2.3075503000291064,2.3075503000291064,6.241141400067136,6.241141400067136,6.241141400067136,6.308485900051892,7.245158600038849,7.245158600038849,7.245370400021784,None,820171,001,2024-05-27_01h25.46.807,article1,2024.1.4,None,2024-05-27 01h25.53.428102 +0330,
1,0,1,0,7.712517200037837,,,,,,,,,7.697830600081943,7.712517200037837,,8.230679600033909,8.230702000088058,8.315454600029625,8.315454600029625,8.315454600029625,12.229138800059445,12.229138800059445,12.229138800059445,12.328047100105323,13.229117000009865,13.229117000009865,13.229325100081041,None,820171,001,2024-05-27_01h25.46.807,article1,2024.1.4,None,2024-05-27 01h25.53.428102 +0330,
2,0,2,0,13.59711850003805,,,,,,,,,13.581092800013721,13.59711850003805,,14.230583199998364,14.230628200108185,14.302094800048508,14.302094800048508,14.302094800048508,18.23153930006083,18.23153930006083,18.23153930006083,18.31558350007981,,,19.22989400010556,None,820171,001,2024-05-27_01h25.46.807,article1,2024.1.4,None,2024-05-27 01h25.53.428102 +0330,
3,0,3,0,19.59572650003247,,,,,,,,,19.58024350006599,19.59572650003247,,20.23008370003663,20.230100100045092,20.322382700047456,20.322382700047456,20.322382700047456,24.237782000098377,24.237782000098377,24.237782000098377,24.329754500067793,25.24517000000924,25.24517000000924,25.2453000000678,None,820171,001,2024-05-27_01h25.46.807,article1,2024.1.4,None,2024-05-27 01h25.53.428102 +0330,
4,0,4,0,25.61339760001283,,,,,,,,,25.59753140003886,25.61339760001283,,26.229808200034313,26.229826100054197,26.29790970007889,26.29790970007889,26.29790970007889,30.22959320002701,30.22959320002701,30.22959320002701,30.311631400021724,31.230245600105263,31.230245600105263,31.230449100024998,None,820171,001,2024-05-27_01h25.46.807,article1,2024.1.4,None,2024-05-27 01h25.53.428102 +0330,
,,,,31.595556700020097,,,,,,,,,31.578922600019723,31.595556700020097,,32.229249000083655,32.22926510008983,32.28560220007785,32.28560220007785,32.28560220007785,,,,,,,,,,,,,,,,
