learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,reward_A1,reward_B,gain_reward,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.05065350001677871,0.06916859990451485,0.06916859990451485,9.827305699931458,space,9.752850299933925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217052,001,2,2024-05-27_21h51.37.241,article1,2024.1.4,None,2024-05-27 21h51.47.621113 +0330,
0,0,0,0,9.851729599991813,,,,,,,,,9.828498999937437,9.851729599991813,10.838245399994776,10.838268399937078,10.988275700015947,10.988275700015947,10.988275700015947,20,62,14.850387999904342,14.850387999904342,14.850387999904342,15.001196099910885,15.3688092000084,15.3688092000084,15.3688092000084,16.001432099961676,16.001432099961676,16.86690409993753,17.882627699989825,17.8592005999526,None,,,,,,,217052,001,2,2024-05-27_21h51.37.241,article1,2024.1.4,None,2024-05-27 21h51.47.621113 +0330,
1,0,1,0,18.234743000008166,,,,,,,,,18.22262579994276,18.234743000008166,19.22281429998111,19.22284049994778,19.319562299991958,19.319562299991958,19.319562299991958,,,23.251039599999785,23.251039599999785,23.251039599999785,23.351120800012723,23.76914140000008,23.76914140000008,23.76914140000008,24.334119000006467,24.334119000006467,,,25.2408790999325,right,19.319562299991958,61,44,44,1.0222095000790432,0.08444229990709573,217052,001,2,2024-05-27_21h51.37.241,article1,2024.1.4,None,2024-05-27 21h51.47.621113 +0330,
2,0,2,0,25.61755689990241,,,,,,,,,25.606787299970165,25.61755689990241,26.6080559999682,26.608078299905173,26.703478600014932,26.703478600014932,26.703478600014932,,,30.633752599940635,30.633752599940635,30.633752599940635,30.717427899944596,31.13497389992699,31.13497389992699,31.13497389992699,31.701577899977565,31.701577899977565,32.61653220001608,33.63227820000611,33.60940620000474,None,,72,50,,,,217052,001,2,2024-05-27_21h51.37.241,article1,2024.1.4,None,2024-05-27 21h51.47.621113 +0330,
,,,,33.9844261999242,,,,,,,,,33.97396009997465,33.9844261999242,34.97259859996848,34.97261820000131,35.069287699996494,35.069287699996494,35.069287699996494,35,63,39.00011599995196,39.00011599995196,39.00011599995196,39.08428529999219,,,,,,,,,,35.069287699996494,,,,,,,,,,,,,,
