learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,text_no_resp.started,gain_reward,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_B,reward_A1,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.031805999926291406,0.062481199973262846,0.062481199973262846,11.21219609992113,space,11.133629200048745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801227,001,1,2024-05-27_17h18.01.061,article1,2024.1.4,None,2024-05-27 17h18.05.815281 +0330,
0,0,0,0,11.221580399898812,,,,,,,,,11.21305499994196,11.221580399898812,12.345285799936391,12.210251199896447,12.210279099992476,12.345285799936391,12.345285799936391,12.345285799936391,57,45,12.345285799936391,45,13.355087099946104,16.221890199929476,16.221890199929476,16.221890199929476,16.35517669992987,17.222145299892873,17.222145299892873,17.222145299892873,17.35506919992622,17.35506919992622,17.340724299894646,right,0.5297936999704689,0.12043100001756102,,,801227,001,1,2024-05-27_17h18.01.061,article1,2024.1.4,None,2024-05-27 17h18.05.815281 +0330,
1,0,1,0,17.70526659989264,,,,,,,,,17.693399399984628,17.70526659989264,18.758480299962685,18.69258169992827,18.692611199920066,18.758480299962685,18.758480299962685,18.758480299962685,54,35,18.758480299962685,,19.77159669995308,22.70549199997913,22.70549199997913,22.70549199997913,22.772249199915677,23.705581399961375,23.705581399961375,23.705581399961375,23.77188309992198,23.77188309992198,23.76108430000022,None,,,,,801227,001,1,2024-05-27_17h18.01.061,article1,2024.1.4,None,2024-05-27 17h18.05.815281 +0330,
,,,,24.12143139995169,,,,,,,,,24.109138199943118,24.12143139995169,,25.109369999961928,25.10938719997648,25.17585080000572,25.17585080000572,25.17585080000572,,,25.17585080000572,,26.18887169996742,,,,,,,,,,,,,,71,73,,,,,,,,,
