learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,text_no_resp.started,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,reward_A2,reward_C,gain_reward,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.043696300010196865,0.07298309996258467,0.07298309996258467,1.9034086000174284,space,1.81930850003846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,340366,001,1,2024-05-27_16h20.03.167,article1,2024.1.4,None,2024-05-27 16h20.07.752466 +0330,
0,0,0,0,1.9140669000335038,,,,,,,,,1.9043937999522313,1.9140669000335038,2.915016100043431,2.9150339999468997,3.017407099949196,3.017407099949196,3.017407099949196,56,36,6.912003900040872,6.912003900040872,6.912003900040872,7.028487500036135,7.911946599953808,7.911946599953808,7.911946599953808,7.911946599953808,8.027766700019129,8.027766700019129,8.016636400017887,None,,,,,,,340366,001,1,2024-05-27_16h20.03.167,article1,2024.1.4,None,2024-05-27 16h20.07.752466 +0330,
1,0,1,0,8.37848740001209,,,,,,,,,8.365112900035456,8.912188600050285,9.900152200018056,9.900175399961881,9.964931200025603,9.964931200025603,9.964931200025603,74,49,13.911269300035201,13.911269300035201,13.911269300035201,13.977944600046612,14.911594199948013,14.911594199948013,14.911594199948013,14.911594199948013,14.977716499939561,14.977716499939561,14.96638720005285,None,9.964931200025603,,,,,,340366,001,1,2024-05-27_16h20.03.167,article1,2024.1.4,None,2024-05-27 16h20.07.752466 +0330,
2,0,2,0,15.328501099953428,,,,,,,,,15.316476800013334,15.91256510000676,16.89893360005226,16.898953899974003,16.96373560000211,16.96373560000211,16.96373560000211,58,64,20.91220549994614,20.91220549994614,20.91220549994614,20.978119099978358,21.91103730001487,21.91103730001487,21.91103730001487,21.91103730001487,21.977747399942018,21.977747399942018,21.96520730003249,None,16.96373560000211,,,,,,340366,001,1,2024-05-27_16h20.03.167,article1,2024.1.4,None,2024-05-27 16h20.07.752466 +0330,
3,0,3,0,22.32830679998733,,,,,,,,,22.31557590002194,22.911975899944082,23.89852859999519,23.898550700047053,23.964346900000237,23.964346900000237,23.964346900000237,,,27.911438600043766,27.911438600043766,27.911438600043766,27.978191799949855,28.91166940005496,28.91166940005496,28.91166940005496,28.91166940005496,28.977487599942833,28.977487599942833,28.96601680002641,right,23.964346900000237,68,52,52,0.6007560000289232,0.2627297999570146,340366,001,1,2024-05-27_16h20.03.167,article1,2024.1.4,None,2024-05-27 16h20.07.752466 +0330,
4,0,4,0,29.32817100000102,,,,,,,,,29.314629000029527,29.910711799981073,30.899953000014648,30.899982600007206,30.963417900027707,30.963417900027707,30.963417900027707,,,34.91095479996875,34.91095479996875,34.91095479996875,34.97742719994858,35.91222259995993,35.91222259995993,35.91222259995993,35.91222259995993,35.97753030003514,35.97753030003514,35.96583250002004,None,30.963417900027707,75,42,,,,340366,001,1,2024-05-27_16h20.03.167,article1,2024.1.4,None,2024-05-27 16h20.07.752466 +0330,
5,0,5,0,36.32868689997122,,,,,,,,,36.31631689995993,36.91131849994417,37.89742870000191,37.897447300027125,37.947087900014594,37.947087900014594,37.947087900014594,,,41.91077239997685,41.91077239997685,41.91077239997685,41.96099069993943,42.910936799948104,42.910936799948104,42.910936799948104,42.910936799948104,42.961062200018205,42.961062200018205,42.94912270002533,None,37.947087900014594,70,32,,,,340366,001,1,2024-05-27_16h20.03.167,article1,2024.1.4,None,2024-05-27 16h20.07.752466 +0330,
,,,,43.31157669995446,,,,,,,,,43.300167500041425,43.91109479998704,44.89719769998919,44.897220400045626,44.963808199972846,44.963808199972846,44.963808199972846,,,,,,,,,,,,,,,44.963808199972846,72,63,,,,,,,,,,,,
