learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.04589449998456985,0.07815249997656792,0.07815249997656792,1.471807699999772,space,1.389699500054121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026976,001,1,2024-05-28_01h40.07.371,article1,2024.1.4,None,2024-05-28 01h40.14.034546 +0330,
0,0,0,0,,,,,1.484615399967879,,,,,,,,,1.4722753999521956,1.484615399967879,2.573980599991046,2.47154739999678,2.4715701999375597,2.573980599991046,2.573980599991046,2.573980599991046,64,62,6.4848681999137625,6.4848681999137625,6.4848681999137625,6.584918899927288,7.485720899887383,7.485720899887383,7.485720899887383,7.584663099958561,7.584663099958561,8.501144999987446,9.501146900001913,9.494529399904422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,026976,001,1,2024-05-28_01h40.07.371,article1,2024.1.4,None,2024-05-28 01h40.14.034546 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.838037699926645,9.852486199932173,9.852486199932173,11.655178399989381,space,1.7920257999794558,None,,,,,,,,,,,,,,,,,,,,,026976,001,1,2024-05-28_01h40.07.371,article1,2024.1.4,None,2024-05-28 01h40.14.034546 +0330,
,,,,,,,,11.66764549992513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.655974900000729,11.66764549992513,12.738077999907546,12.654609499964863,12.654629800003022,12.738077999907546,12.738077999907546,12.738077999907546,14.467410099925473,15.484192699892446,15.484192699892446,15.484192699892446,,16.49075199989602,right,0.7109959999797866,None,16.491565899923444,,0.0067652000579983,,,,,,,,,
