learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.008673799922689795,0.022172499913722277,0.022172499913722277,0.5504496999783441,space,0.5152674000710249,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589798,001,1,2024-05-28_10h49.26.713,article1,2024.1.4,None,2024-05-28 10h49.34.927919 +0330,
0,0,0,0,,,,,0.5598072999855503,,,,,,,,,0.5529170000227168,0.5598072999855503,1.5584570999490097,1.5584794000023976,1.7517621999140829,1.7517621999140829,1.7517621999140829,78,54,54,5.559228300000541,5.559228300000541,5.559228300000541,5.759208199917339,6.559022599947639,6.559022599947639,6.559022599947639,6.758003299939446,6.758003299939446,7.560802299994975,right,0.8620823000092059,0.10464430006686598,,,,,,,,,,,,,,,589798,001,1,2024-05-28_10h49.26.713,article1,2024.1.4,None,2024-05-28 10h49.34.927919 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.937079199939035,7.943128800019622,7.943128800019622,11.634520799969323,space,3.674113499931991,None,,,,,,,,589798,001,1,2024-05-28_10h49.26.713,article1,2024.1.4,None,2024-05-28 10h49.34.927919 +0330,
,,,,,,,,11.648464999976568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.636396099929698,11.648464999976568,12.646361000020988,12.646400999976322,12.79427559999749,12.79427559999749,12.79427559999749,,,,,,,,,
