learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,reward_A2,reward_C,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0058500999584794044,0.009306699968874454,0.009306699968874454,1.2660588999278843,space,1.2483961000107229,None,,,,,,,,,,,,,,,,,,,,,,679569,001,2024-05-27_11h50.54.119,article1,2024.1.4,None,2024-05-27 11h50.59.962124 +0330,
0,0,0,0,1.2784557999111712,,,,,,,,,1.2668756999773905,1.2784557999111712,2.3522498999955133,2.262789799948223,2.2628088999772444,2.3522498999955133,2.3522498999955133,2.3522498999955133,71,78,6.280156899942085,6.280156899942085,6.280156899942085,6.433410299941897,7.2664564999286085,None,,,,,,679569,001,2024-05-27_11h50.54.119,article1,2024.1.4,None,2024-05-27 11h50.59.962124 +0330,
1,0,1,0,7.634108999976888,,,,,,,,,7.617975799948908,7.634108999976888,,8.26809249992948,8.268113299971446,8.330497000017203,8.330497000017203,8.330497000017203,78,50,12.267362399958074,12.267362399958074,12.267362399958074,12.332382299937308,13.282381299999543,None,13.282230600016192,13.282230600016192,13.282230600016192,,,679569,001,2024-05-27_11h50.54.119,article1,2024.1.4,None,2024-05-27 11h50.59.962124 +0330,
2,0,2,0,13.6506050999742,,,,,,,,,13.635041199973784,13.6506050999742,,14.267771099926904,14.26779670000542,14.34625820000656,14.34625820000656,14.34625820000656,70,60,18.266615699976683,18.266615699976683,18.266615699976683,18.348764099995606,19.283419499988668,None,19.265765100019053,19.265765100019053,19.265765100019053,,,679569,001,2024-05-27_11h50.54.119,article1,2024.1.4,None,2024-05-27 11h50.59.962124 +0330,
3,0,3,0,19.650702100014314,,,,,,,,,19.635036599938758,19.650702100014314,,20.268028399907053,20.26805399998557,20.32957369997166,20.32957369997166,20.32957369997166,,,24.26683699991554,24.26683699991554,24.26683699991554,24.332906399969943,25.28319849993568,None,25.265619699959643,25.265619699959643,25.265619699959643,66,54,679569,001,2024-05-27_11h50.54.119,article1,2024.1.4,None,2024-05-27 11h50.59.962124 +0330,
4,0,4,0,25.65067150001414,,,,,,,,,25.634032499976456,25.65067150001414,,26.267926699947566,26.267954999930225,26.33247439994011,26.33247439994011,26.33247439994011,,,30.265576599980704,30.265576599980704,30.265576599980704,30.33239070000127,31.2665113999974,None,31.26630669995211,31.26630669995211,31.26630669995211,41,13,679569,001,2024-05-27_11h50.54.119,article1,2024.1.4,None,2024-05-27 11h50.59.962124 +0330,
,,,,31.63259219995234,,,,,,,,,31.617465499904938,31.63259219995234,,32.26683520001825,32.2668559999438,32.33416849991772,32.33416849991772,32.33416849991772,81,78,,,,,,,,,,,,,,,,,,,
