learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.012386800022795796,0.0349132000701502,0.0349132000701502,2.57728029997088,space,2.5278523999731988,None,,,,,,,,,,,,,,,,,,,,,,,,,,128855,001,1,2024-05-27_16h31.15.852,article1,2024.1.4,None,2024-05-27 16h31.28.312492 +0330,
0,0,0,0,2.590689399978146,,,,,,,,,2.5778358000097796,2.590689399978146,3.697931500035338,3.575763300061226,3.575773200020194,3.697931500035338,3.697931500035338,3.697931500035338,56,67,3.697931500035338,4.708125300006941,7.591164199984632,7.591164199984632,7.591164199984632,7.708219800028019,8.591384100029245,8.591384100029245,8.591384100029245,8.70752270007506,8.70752270007506,8.697026600013487,None,,,128855,001,1,2024-05-27_16h31.15.852,article1,2024.1.4,None,2024-05-27 16h31.28.312492 +0330,
1,0,1,0,9.057930700015277,,,,,,,,,9.046888199984096,9.057930700015277,10.112189800012857,10.044003800023347,10.044023300055414,10.112189800012857,10.112189800012857,10.112189800012857,,,10.112189800012857,11.124701900058426,14.05751389998477,14.05751389998477,14.05751389998477,14.124412200064398,15.05781620007474,15.05781620007474,15.05781620007474,15.124506899970584,15.124506899970584,15.113414500025101,None,50,47,128855,001,1,2024-05-27_16h31.15.852,article1,2024.1.4,None,2024-05-27 16h31.28.312492 +0330,
,,,,15.474783400073647,,,,,,,,,15.462069800007157,15.474783400073647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
