learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,right_polygon.started,left_polygon.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.002896699937991798,0.006793399923481047,0.006793399923481047,4.773096899967641,space,4.74701049993746,None,,,,,,,,,,,,,,,122647,001,2024-05-26_22h39.46.680,article1,2024.1.4,None,2024-05-26 22h39.55.449114 +0330,
0,0,0,0,4.784107899991795,,,,,,,,,4.774271499947645,4.784107899991795,5.903313199989498,5.768959200009704,5.769009499927051,5.903313199989498,5.903313199989498,5.903313199989498,5.903313199989498,5.903313199989498,9.614480299991556,right,3.6825138001004234,None,122647,001,2024-05-26_22h39.46.680,article1,2024.1.4,None,2024-05-26 22h39.55.449114 +0330,
1,0,1,0,9.950452699908055,,,,,,,,,9.935526799992658,9.950452699908055,11.013378400006332,10.934694099938497,10.93472199991811,11.013378400006332,11.013378400006332,11.013378400006332,11.013378400006332,11.013378400006332,12.32251670002006,right,1.2593659000704065,None,122647,001,2024-05-26_22h39.46.680,article1,2024.1.4,None,2024-05-26 22h39.55.449114 +0330,
,,,,12.650663199950941,,,,,,,,,12.635320800007321,12.650663199950941,13.714491099934094,13.63533419999294,13.635377199971117,13.714491099934094,13.714491099934094,13.714491099934094,13.714491099934094,13.714491099934094,,,,,,,,,,,,
