learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,key_resp_2.stopped,polygon_2.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.028134600026533008,0.05629790003877133,0.05629790003877133,1.8074711000081152,space,1.7371989999664947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,085584,001,1,2024-05-27_23h21.21.193,article1,2024.1.4,None,2024-05-27 23h21.30.077966 +0330,
0,0,0,0,,,,,1.8307981999823824,,,,,,,,,1.8084811000153422,1.8307981999823824,2.820340499980375,2.8203636000398546,3.0049861000152305,3.0049861000152305,3.0049861000152305,62,55,6.814988899976015,6.814988899976015,6.814988899976015,7.015335500007495,7.817062900052406,7.817062900052406,7.817062900052406,8.015345000079833,8.015345000079833,8.82999960007146,9.847014800063334,9.824505900032818,None,,,,,,,,,,,,,,,,,,,085584,001,1,2024-05-27_23h21.21.193,article1,2024.1.4,None,2024-05-27 23h21.30.077966 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.186554200015962,10.198941300041042,10.198941300041042,11.370308000012301,space,1.1669535000110045,None,,,,,,,,,,,,085584,001,1,2024-05-27_23h21.21.193,article1,2024.1.4,None,2024-05-27 23h21.30.077966 +0330,
,,,,,,,,11.381837900029495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.371329899993725,11.381837900029495,12.471153400023468,12.37067350000143,12.370702599990182,12.471153400023468,12.471153400023468,12.471153400023468,16.79829730000347,16.816224500071257,17.799316400079988,,,,,,,,,
