learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,learning_complete.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.006022499990649521,0.024936200003139675,0.024936200003139675,1.593812800012529,space,1.5528919000644237,None,,,,,,,,,397440,001,2024-05-26_21h17.13.708,article1,2024.1.4,None,2024-05-26 21h17.21.029966 +0330,
0,0,0,0,1.6042788999620825,,,,,,,,,8.037124499911442,8.055197999929078,2.60426870000083,8.60382540000137,2.5897267999826,3.71716389991343,3.71716389991343,7.662009499967098,397440,001,2024-05-26_21h17.13.708,article1,2024.1.4,None,2024-05-26 21h17.21.029966 +0330,
1,0,1,0,8.619643299956806,,,,,,,,,14.955563199939206,14.971972899977118,,15.60532209998928,9.603760899975896,10.696308999904431,10.696308999904431,14.602249999996275,397440,001,2024-05-26_21h17.13.708,article1,2024.1.4,None,2024-05-26 21h17.21.029966 +0330,
,,,,15.620873300009407,,,,,,,,,15.605995899997652,15.620873300009407,,16.604357699980028,16.604387299972586,17.67816759995185,17.67816759995185,,,,,,,,,
