training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_no_resp_0.started,text_no_resp_0.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.004079400096088648,0.00825990003068,0.00825990003068,1.6867326000938192,space,1.6732584000565112,None,,,,,,,,,,,,,,,,,,,,,,,,765938,001,1,2024-05-28_15h25.47.442,article1,2024.1.4,None,2024-05-28 15h26.01.279589 +0330,
0,0,0,0,1.6980634001083672,,,,,,,,,1.6878276000497863,1.6980634001083672,2.866053800098598,2.683450400014408,2.6835024000611156,2.866053800098598,2.866053800098598,2.866053800098598,6.699028400005773,6.699028400005773,6.699028400005773,6.866200300049968,7.698990700067952,7.698990700067952,7.698990700067952,7.864541899994947,7.864541899994947,8.703037600032985,right,0.44998859998304397,0.11451250000391155,,,765938,001,1,2024-05-28_15h25.47.442,article1,2024.1.4,None,2024-05-28 15h26.01.279589 +0330,
1,0,1,0,8.714400800061412,,,,,,,,,8.704017900046892,8.714400800061412,9.808406200027093,9.698963700095192,9.699002900044434,9.808406200027093,9.808406200027093,9.808406200027093,13.715539199998602,13.715539199998602,13.715539199998602,13.815508700092323,14.71534520003479,14.71534520003479,14.71534520003479,14.814937300048769,14.814937300048769,15.716632000054233,left,0.4381769000319764,0.05855409998912364,,,765938,001,1,2024-05-28_15h25.47.442,article1,2024.1.4,None,2024-05-28 15h26.01.279589 +0330,
2,0,2,0,15.73102510010358,,,,,,,,,15.717102400027215,15.73102510010358,16.86645130009856,16.71625350008253,16.716297100065276,16.86645130009856,16.86645130009856,16.86645130009856,20.731744699995033,20.731744699995033,20.731744699995033,20.88194210000802,21.731795400031842,21.731795400031842,21.731795400031842,21.880768300034106,21.880768300034106,23.74055089999456,None,,,22.747382200090215,23.74769720004406,765938,001,1,2024-05-28_15h25.47.442,article1,2024.1.4,None,2024-05-28 15h26.01.279589 +0330,
,,,,23.74769720004406,,,,,,,,,23.740917200106196,23.74769720004406,24.83942040009424,24.731352900038473,24.731376900104806,24.83942040009424,24.83942040009424,24.83942040009424,28.75294970010873,28.75294970010873,28.75294970010873,28.848307800013572,29.76514070003759,29.76514070003759,29.76514070003759,29.847372599993832,29.847372599993832,,,,,,,,,,,,,,,
