learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01590670004952699,0.020680800080299377,0.020680800080299377,2.832576400018297,space,2.805168099934235,None,,,,,,,,864574,001,2024-05-26_22h49.19.194,article1,2024.1.4,None,2024-05-26 22h49.26.044825 +0330,
,,,,2.849583600065671,,,,,,,,,2.833989000064321,2.849583600065671,3.8405367999803275,3.840562800061889,4.074475400033407,4.074475400033407,4.074475400033407,,,,,,,,
