learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007371800020337105,0.021426300052553415,0.021426300052553415,0.46562170004472136,space,0.3987665999447927,None,,,,,,071661,001,2024-05-26_21h55.40.397,article1,2024.1.4,None,2024-05-26 21h55.47.723180 +0330,
,,,,0.4716349000809714,,,,,,,,,0.4671847000718117,0.4716349000809714,,1.4745479000266641,1.4745809000451118,,,,,,,,
