learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.038597799954004586,0.09647620003670454,0.09647620003670454,4.998070399975404,space,4.854881800012663,None,,,,,,,,,,,,,,,,,,,,,,,,492015,001,1,2024-05-27_15h17.02.913,article1,2024.1.4,None,2024-05-27 15h17.10.735668 +0330,
0,0,0,0,5.011460799956694,,,,,,,,,4.999487900058739,5.011460799956694,6.000805599964224,6.000827700016089,6.269724400015548,6.269724400015548,6.269724400015548,72,49,10.013492100057192,10.013492100057192,10.013492100057192,10.27978169999551,11.03018170001451,11.03018170001451,11.03018170001451,11.279804000048898,11.279804000048898,11.28633420006372,None,,,,492015,001,1,2024-05-27_15h17.02.913,article1,2024.1.4,None,2024-05-27 15h17.10.735668 +0330,
1,0,1,0,11.677349200006574,,,,,,,,,11.658037799992599,12.01256189995911,12.999396000057459,12.999415999976918,13.132586500025354,13.132586500025354,13.132586500025354,49,56,17.012924700044096,17.012924700044096,17.012924700044096,17.163141899975017,18.013009799993597,18.013009799993597,18.013009799993597,18.14631650003139,18.14631650003139,18.16836270003114,None,,,,492015,001,1,2024-05-27_15h17.02.913,article1,2024.1.4,None,2024-05-27 15h17.10.735668 +0330,
2,0,2,0,18.529493700014427,,,,,,,,,18.516400499967858,18.996535600046627,19.984489500056952,19.984512499999255,20.11535720003303,20.11535720003303,20.11535720003303,,,24.012797000003047,24.012797000003047,24.012797000003047,24.14621499995701,25.046165500069037,25.046165500069037,25.046165500069037,25.129667700035498,25.129667700035498,25.184420100064017,None,20.11535720003303,53,55,492015,001,1,2024-05-27_15h17.02.913,article1,2024.1.4,None,2024-05-27 15h17.10.735668 +0330,
,,,,25.545853000017814,,,,,,,,,25.53419010003563,26.01250810001511,27.00058170000557,27.000608899979852,27.114425600040704,27.114425600040704,27.114425600040704,,,,,,,,,,,,,,,68,35,,,,,,,,,
