learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,left_polygon.started,right_polygon.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.015592199983075261,0.022656099987216294,0.022656099987216294,3.958974700071849,space,3.9238277999684215,None,,,,,,,,,,,,,,,365736,001,2024-05-26_22h32.08.370,article1,2024.1.4,None,2024-05-26 22h32.15.772740 +0330,
0,0,0,0,3.9681902000447735,,,,,,,,,3.9617886999621987,3.9681902000447735,4.964568600058556,4.964593400014564,5.160072900005616,5.160072900005616,5.160072900005616,5.160072900005616,5.160072900005616,8.872727600042708,right,3.6286631000693887,None,,365736,001,2024-05-26_22h32.08.370,article1,2024.1.4,None,2024-05-26 22h32.15.772740 +0330,
1,0,1,0,9.213958300068043,,,,,,,,,9.199592599994503,9.213958300068043,10.198089199955575,10.198119100066833,10.304656099993736,10.304656099993736,10.304656099993736,10.304656099993736,10.304656099993736,10.924742300063372,right,0.5517592000542209,None,10.304656099993736,365736,001,2024-05-26_22h32.08.370,article1,2024.1.4,None,2024-05-26 22h32.15.772740 +0330,
2,0,2,0,11.297482599969953,,,,,,,,,11.282464900054038,11.297482599969953,12.281396000063978,12.281419900013134,12.380221400060691,12.380221400060691,12.380221400060691,12.380221400060691,12.380221400060691,16.316430100006983,None,,,12.380221400060691,365736,001,2024-05-26_22h32.08.370,article1,2024.1.4,None,2024-05-26 22h32.15.772740 +0330,
,,,,16.824093300034292,,,,,,,,,16.806810099980794,16.824093300034292,17.297337700030766,17.29738520004321,17.425678299972787,17.425678299972787,17.425678299972787,17.425678299972787,17.425678299972787,,,,,,,,,,,,,
