learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.013181100017391145,0.01686670002527535,0.01686670002527535,0.9703714000061154,space,0.9335456000408158,None,,,,,,,,,,,,,,,,,,664751,001,2024-05-27_01h30.43.814,article1,2024.1.4,None,2024-05-27 01h30.48.587424 +0330,
0,0,0,0,0.9813093000557274,,,,,,,,,0.9714413000037894,0.9813093000557274,2.0475061000324786,1.965360900037922,1.9653751000296324,2.0475061000324786,2.0475061000324786,2.0475061000324786,5.981778100016527,5.981778100016527,5.981778100016527,6.048466400010511,6.985035400022753,6.985035400022753,6.985035400022753,6.985542800044641,None,664751,001,2024-05-27_01h30.43.814,article1,2024.1.4,None,2024-05-27 01h30.48.587424 +0330,
,,,,7.503047400037758,,,,,,,,,7.487116300035268,7.503047400037758,,7.970939100021496,7.9709581000497565,8.041832400020212,8.041832400020212,8.041832400020212,,,,,,,,,,,,,,,,,
