learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,key_resp_2.stopped,polygon_2.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.03562270000111312,0.06375979993026704,0.06375979993026704,2.397797799902037,space,2.3228794999886304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958310,001,1,2024-05-27_23h34.49.422,article1,2024.1.4,None,2024-05-27 23h34.57.281250 +0330,
0,0,0,0,,,,,2.407270999974571,,,,,,,,,2.3987266999902204,2.407270999974571,3.5134419999085367,3.3925378000130877,3.3925549999112263,3.5134419999085367,3.5134419999085367,3.5134419999085367,59,84,7.407405199948698,7.407405199948698,7.407405199948698,7.523698600009084,8.407236299943179,8.407236299943179,8.407236299943179,8.523646799963899,8.523646799963899,9.40687159996014,10.421899099950679,10.39813659992069,None,,,,,,,,,,,,,,,,,,,958310,001,1,2024-05-27_23h34.49.422,article1,2024.1.4,None,2024-05-27 23h34.57.281250 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.760978500009514,10.773647099966183,10.773647099966183,17.79469509993214,space,7.01397219998762,None,,,,,,,,,,,,958310,001,1,2024-05-27_23h34.49.422,article1,2024.1.4,None,2024-05-27 23h34.57.281250 +0330,
,,,,,,,,17.806613099994138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.795391299994662,17.806613099994138,18.941887099994346,18.793785399990156,18.79380489990581,18.941887099994346,18.941887099994346,18.941887099994346,25.39016939990688,25.406932799960487,26.39036209997721,,,,,,,,,
