learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,learning_complete.stopped,learning_feadback.started,learning_key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.018350300029851496,0.04013970005325973,0.04013970005325973,1.1255511000053957,space,1.067475999938324,None,,,,,,,,,,657208,001,2024-05-26_21h33.46.807,article1,2024.1.4,None,2024-05-26 21h33.54.271851 +0330,
,,,,1.134283300023526,,,,,,,,,1.1279208000050858,1.134283300023526,2.133296799962409,2.1333306999877095,2.3689457000000402,2.3689457000000402,6.1533377999439836,6.4832698999671265,6.499408100033179,,,,,,,,
