training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,fixation0.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.014926400035619736,0.028604599996469915,0.028604599996469915,1.5703437000047415,space,1.5218746000900865,None,,,,,,,,,,,,,,,,,,,,,,207282,001,1,2024-05-28_12h25.20.163,article1,2024.1.4,None,2024-05-28 12h25.37.189468 +0330,
0,0,0,0,1.5933523999992758,,,,,,,,,1.5714592000003904,1.5933523999992758,2.583980600000359,2.584010099992156,2.9399895999813452,2.9399895999813452,2.9399895999813452,6.593931599985808,6.593931599985808,6.593931599985808,6.960740600014105,7.595779199968092,7.595779199968092,7.595779199968092,7.944610400008969,7.944610400008969,8.583878500037827,right,1.0131011999910697,0.1722388999769464,,207282,001,1,2024-05-28_12h25.20.163,article1,2024.1.4,None,2024-05-28 12h25.37.189468 +0330,
1,0,1,0,8.629081799997948,,,,,,,,,8.611640500021167,8.629081799997948,9.615978499990888,9.616011900012381,9.748231600038707,9.748231600038707,9.748231600038707,13.628101599984802,13.628101599984802,13.628101599984802,13.7775483999867,14.645421299966983,14.645421299966983,14.645421299966983,14.761346900020726,14.761346900020726,15.618679699953645,left,1.1367952999426052,0.1195459000300616,,207282,001,1,2024-05-28_12h25.20.163,article1,2024.1.4,None,2024-05-28 12h25.37.189468 +0330,
,,,,15.627977399970405,,,,,,,,,15.619262599968351,15.627977399970405,16.616484500002116,16.616505500045605,16.729350200039335,16.729350200039335,16.729350200039335,,,,,,,,,,,,,,16.729350200039335,,,,,,,,,
