learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.009849100024439394,0.01464580011088401,0.01464580011088401,1.7933357000583783,space,1.7097034000325948,None,,,,,,,,,,,,,,,,,,,,,,,,595768,001,2024-05-27_11h34.18.270,article1,2024.1.4,None,2024-05-27 11h34.27.366594 +0330,
0,0,0,0,1.7973521000239998,,,,,,,,,1.7947955999989063,1.7973521000239998,2.9370982000837103,2.7885228000814095,2.7885448000160977,2.9370982000837103,2.9370982000837103,2.9370982000837103,80,37,6.805686000036076,6.805686000036076,6.805686000036076,6.938683400047012,7.805485700024292,7.805485700024292,7.805485700024292,7.805694900103845,right,0.6515057999640703,0.16051489999517798,,,595768,001,2024-05-27_11h34.18.270,article1,2024.1.4,None,2024-05-27 11h34.27.366594 +0330,
1,0,1,0,8.17104929999914,,,,,,,,,8.159487700089812,8.17104929999914,,8.804933700012043,8.804989500087686,8.872708600014448,8.872708600014448,8.872708600014448,,,12.805173200089484,12.805173200089484,12.805173200089484,12.872139900107868,13.8050958000822,13.8050958000822,13.8050958000822,13.805374000105076,left,3.3085943999467418,0.21568639995530248,54,62,595768,001,2024-05-27_11h34.18.270,article1,2024.1.4,None,2024-05-27 11h34.27.366594 +0330,
2,0,2,0,14.171090200077742,,,,,,,,,14.155520400032401,14.171090200077742,,14.804899500100873,14.805032100062817,14.873684500111267,14.873684500111267,14.873684500111267,62,27,18.804832400055602,18.804832400055602,18.804832400055602,18.88820929999929,19.80497430008836,19.80497430008836,19.80497430008836,19.80536670004949,None,,,,,595768,001,2024-05-27_11h34.18.270,article1,2024.1.4,None,2024-05-27 11h34.27.366594 +0330,
,,,,20.171010700054467,,,,,,,,,20.15566380007658,20.171010700054467,,20.804720400017686,20.80475520004984,20.8573034000583,20.8573034000583,20.8573034000583,76,47,,,,,,,,,,,,,,,,,,,,,
