learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,text_no_resp.started,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,0,69.37449700001162,,,,,,,,,69.36639340000693,69.37449700001162,69.79613639996387,69.7961617000401,69.94859319995157,69.94859319995157,69.94859319995157,60,39,73.80779120000079,73.80779120000079,73.80779120000079,73.97468760004267,74.8077177000232,74.82501859997865,74.82501859997865,74.82501859997865,74.95755169994663,74.95755169994663,,75.81430580001324,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
10,0,10,0,76.22450659994502,,,,,,,,,76.21662810002454,76.22450659994502,76.79524300002959,76.79526809998788,76.93076410004869,76.93076410004869,76.93076410004869,36,37,80.80793649994303,80.80793649994303,80.80793649994303,80.97764870000537,81.80740499997046,81.82429450005293,81.82429450005293,81.82429450005293,81.94150359998457,81.94150359998457,,82.79546870000195,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
11,0,11,0,83.17441490001511,,,,,,,,,83.1626355999615,83.17441490001511,83.79550510004628,83.79552769998554,83.94390129996464,83.94390129996464,83.94390129996464,69,37,87.8077027000254,87.8077027000254,87.8077027000254,87.97399029997177,88.80717749998439,88.82424270000774,88.82424270000774,88.82424270000774,88.95764949999284,88.95764949999284,,89.79511209996417,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
12,0,12,0,90.15760589996353,,,,,,,,,90.14601929998025,90.15760589996353,90.79470339999534,90.79472889995668,90.92770300002303,90.92770300002303,90.92770300002303,,,94.80694030004088,94.80694030004088,94.80694030004088,94.97401839995291,95.80717599997297,95.82435170002282,95.82435170002282,95.82435170002282,95.94131010002457,95.94131010002457,,96.79610599996522,None,57,43,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
13,0,13,0,97.17438969993964,,,,,,,,,97.16248549998272,97.17438969993964,97.79699850000907,97.7970287000062,97.94507759995759,97.94507759995759,97.94507759995759,63,48,101.80708299996331,101.80708299996331,101.80708299996331,101.97336990002077,102.80776949995197,102.82556150003802,102.82556150003802,102.82556150003802,102.9578535000328,102.9578535000328,,103.79583550000098,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
14,0,14,0,104.19061449996661,,,,,,,,,104.17865919996984,104.19061449996661,104.79637660004664,104.79640250001103,105.02966700005345,105.02966700005345,105.02966700005345,,,108.80743010004517,108.80743010004517,108.80743010004517,109.07403320004232,109.80716810002923,109.82569329999387,109.82569329999387,109.82569329999387,110.0404397000093,110.0404397000093,,110.79570410004817,None,83,45,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
15,0,15,0,111.29086199996527,,,,,,,,,111.27955099998508,111.29086199996527,111.79534429998603,111.79536730004475,111.92750700004399,111.92750700004399,111.92750700004399,68,71,115.80901460000314,115.80901460000314,115.80901460000314,115.97361059999093,116.80723150004633,116.8240780000342,116.8240780000342,116.8240780000342,116.94045899994671,116.94045899994671,,117.794269099948,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
16,0,16,0,118.15724049997516,,,,,,,,,118.14565810002387,118.15724049997516,118.79704410000704,118.79706769995391,118.94373749999795,118.94373749999795,118.94373749999795,26,51,122.8065960999811,122.8065960999811,122.8065960999811,122.97338009998202,123.80976219999138,123.8246128000319,123.8246128000319,123.8246128000319,123.9575037000468,123.9575037000468,,124.79455810005311,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
17,0,17,0,125.24063240003306,,,,,,,,,125.22939849994145,125.24063240003306,125.79368430003524,125.79371769994032,125.9096674999455,125.9096674999455,125.9096674999455,,,129.80637530004606,129.80637530004606,129.80637530004606,129.94129879993852,130.8067092000274,130.8247457999969,130.8247457999969,130.8247457999969,130.94152170000598,130.94152170000598,,131.7982667000033,None,64,48,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
18,0,18,0,132.30658690002747,,,,,,,,,132.298227100051,132.30658690002747,132.7969570000423,132.79698059998918,132.90973620000295,132.90973620000295,132.90973620000295,,,136.80606410000473,136.80606410000473,136.80606410000473,136.94076579995453,137.80661029997282,137.82447089999914,137.82447089999914,137.82447089999914,137.93931919999886,137.93931919999886,,138.7958569000475,None,82,46,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
19,0,19,0,139.173855299945,,,,,,,,,139.16258580004796,139.173855299945,139.79624309996143,139.79626890004147,139.90950650000013,139.90950650000013,139.90950650000013,,,143.80737119994592,143.80737119994592,143.80737119994592,143.94087759999093,144.80635830003303,144.80635830003303,144.80635830003303,144.80635830003303,144.9396283000242,144.9396283000242,,145.79506789997686,None,62,46,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
