learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,text_no_resp.started,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,gain_reward,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.026743400027044117,0.0526279000332579,0.0526279000332579,5.793907899991609,space,5.7387229999294505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751953,001,1,2024-05-27_15h09.02.197,article1,2024.1.4,None,2024-05-27 15h09.05.424820 +0330,
0,0,0,0,5.804845100035891,,,,,,,,,5.795192599995062,5.804845100035891,7.108400100027211,6.794141200021841,6.7941707000136375,7.108400100027211,7.108400100027211,7.108400100027211,59,76,10.819768299930729,10.819768299930729,10.819768299930729,11.138381300028414,11.804694699938409,11.82256270002108,11.82256270002108,11.82256270002108,12.122395299957134,12.122395299957134,12.820090199937113,12.794506300007924,None,,,,,,751953,001,1,2024-05-27_15h09.02.197,article1,2024.1.4,None,2024-05-27 15h09.05.424820 +0330,
1,0,1,0,13.171211199951358,,,,,,,,,13.160790599999018,13.171211199951358,,13.809424299979582,13.809447100036778,13.907742999959737,13.907742999959737,13.907742999959737,,,17.821341900038533,17.821341900038533,17.821341900038533,17.93854050000664,18.80419970001094,18.82159489998594,18.82159489998594,18.82159489998594,18.921248400001787,18.921248400001787,19.819236399955116,19.79434509994462,right,93,56,56,2.5027055999962613,0.24894350010436028,751953,001,1,2024-05-27_15h09.02.197,article1,2024.1.4,None,2024-05-27 15h09.05.424820 +0330,
,,,,20.172979700029828,,,,,,,,,20.16036229999736,20.172979700029828,,20.80984390003141,20.809863499947824,20.907346099964343,20.907346099964343,20.907346099964343,85,79,24.82186729996465,24.82186729996465,24.82186729996465,24.92049869999755,25.80425559997093,25.821510100038722,25.821510100038722,25.821510100038722,25.92132770002354,25.92132770002354,26.804836199968122,,,,,,,,,,,,,,,,
