learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,reward_A1,reward_B,gain_reward,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.036202199989929795,0.06478870008140802,0.06478870008140802,2.08091860008426,space,2.0044682000298053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651647,001,1,2024-05-27_17h02.10.098,article1,2024.1.4,None,2024-05-27 17h02.16.435732 +0330,
0,0,0,0,2.0905048000859097,,,,,,,,,2.081806499976665,2.0905048000859097,3.1964251999743283,3.0778528000228107,3.077875400078483,3.1964251999743283,3.1964251999743283,3.1964251999743283,67,43,3.1964251999743283,4.206963900011033,7.090106700081378,7.090106700081378,7.090106700081378,7.207061600056477,8.091070500086062,8.091070500086062,8.091070500086062,8.20739490003325,8.20739490003325,8.194750300026499,None,,,,,,651647,001,1,2024-05-27_17h02.10.098,article1,2024.1.4,None,2024-05-27 17h02.16.435732 +0330,
1,0,1,0,8.557475900044665,,,,,,,,,8.544501399970613,8.557475900044665,,9.544420800055377,9.544441199977882,9.609643100062385,9.609643100062385,9.609643100062385,,,9.609643100062385,10.623636799980886,13.557211600011215,13.557211600011215,13.557211600011215,13.623773000086658,14.557764900033362,14.557764900033362,14.557764900033362,14.623174900072627,14.623174900072627,14.61268680007197,right,64,52,52,2.6119588000001386,0.10426459996961057,651647,001,1,2024-05-27_17h02.10.098,article1,2024.1.4,None,2024-05-27 17h02.16.435732 +0330,
2,0,2,0,14.973375100060366,,,,,,,,,14.958627299987711,14.973375100060366,,15.959751000045799,15.95976530003827,16.02675650001038,16.02675650001038,16.02675650001038,59,52,16.02675650001038,17.040325200068764,19.973783900029957,19.973783900029957,19.973783900029957,20.040124600054696,20.97414760000538,20.97414760000538,20.97414760000538,21.040058400016278,21.040058400016278,21.029471600078978,left,,,59,0.5713098000269383,0.08740770001895726,651647,001,1,2024-05-27_17h02.10.098,article1,2024.1.4,None,2024-05-27 17h02.16.435732 +0330,
,,,,21.391476400080137,,,,,,,,,21.3787099000765,21.391476400080137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
