learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,gain_reward,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.03634580003563315,0.05365739995613694,0.05365739995613694,5.527895799954422,space,5.44020170008298,None,,,,,,,,,,,,,,,,,,,,,,,,,878889,001,1,2024-05-27_20h59.54.751,article1,2024.1.4,None,2024-05-27 21h00.04.235062 +0330,
0,0,0,0,5.540252799983136,,,,,,,,,5.529184499988332,5.540252799983136,6.540771099971607,6.540792300016619,6.859699600026943,6.859699600026943,6.859699600026943,54,66,10.553144600009546,10.553144600009546,10.553144600009546,10.885766000021249,11.552884300006554,11.552884300006554,11.552884300006554,11.869626899948344,11.869626899948344,12.551782900001854,13.5681612000335,13.552826100029051,None,,,878889,001,1,2024-05-27_20h59.54.751,article1,2024.1.4,None,2024-05-27 21h00.04.235062 +0330,
,,,,13.919538200017996,,,,,,,,,13.909815500024706,13.919538200017996,14.908574900007807,14.908658199943602,15.076145799946971,15.076145799946971,15.076145799946971,39,62,18.935259999940172,18.935259999940172,18.935259999940172,19.08602529997006,19.93699259997811,19.93699259997811,19.93699259997811,20.086394499987364,20.086394499987364,,,,,15.076145799946971,62,,,,,,,,,
