learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.025211600004695356,0.07121560000814497,0.07121560000814497,2.0907250000163913,space,2.01065379998181,None,,,,,,,,,,,,,,,,,,,,,270880,001,2,2024-05-27_14h01.41.866,article1,2024.1.4,None,2024-05-27 14h01.51.630401 +0330,
0,0,0,0,2.1125685999868438,,,,,,,,,2.091895699966699,2.1125685999868438,3.1032664000522345,3.1032906000036746,3.2681628999998793,3.2681628999998793,3.2681628999998793,75,55,75,7.112796199973673,7.112796199973673,7.112796199973673,7.2814690000377595,8.102722999989055,left,1.5657711999956518,0.1684113999363035,,,270880,001,2,2024-05-27_14h01.41.866,article1,2024.1.4,None,2024-05-27 14h01.51.630401 +0330,
1,0,1,0,8.481381500023417,,,,,,,,,8.468234700034373,8.481381500023417,9.102900799945928,9.102919399971142,9.201454699970782,9.201454699970782,9.201454699970782,,,,13.112816700013354,13.112816700013354,13.112816700013354,13.21591280004941,14.10175559995696,None,,,56,49,270880,001,2,2024-05-27_14h01.41.866,article1,2024.1.4,None,2024-05-27 14h01.51.630401 +0330,
2,0,2,0,14.482084000017494,,,,,,,,,14.469394600018859,14.482084000017494,15.103190699941479,15.103213599999435,15.200278299977072,15.200278299977072,15.200278299977072,62,53,53,19.113510699942708,19.113510699942708,19.113510699942708,19.232083300012164,20.102648000000045,right,2.5946384000126272,0.11852420005016029,,,270880,001,2,2024-05-27_14h01.41.866,article1,2024.1.4,None,2024-05-27 14h01.51.630401 +0330,
3,0,3,0,20.481633199960925,,,,,,,,,20.47002769995015,20.481633199960925,21.10321590001695,21.103236199938692,21.199658400029875,21.199658400029875,21.199658400029875,51,49,51,25.113423999981023,25.113423999981023,25.113423999981023,25.247095600003377,26.10172929998953,left,1.4754332000156865,0.166735399980098,,,270880,001,2,2024-05-27_14h01.41.866,article1,2024.1.4,None,2024-05-27 14h01.51.630401 +0330,
4,0,4,0,26.464780000038445,,,,,,,,,26.4529950999422,26.464780000038445,27.10152350005228,27.10154219996184,27.200658999965526,27.200658999965526,27.200658999965526,,,,31.114200299954973,31.114200299954973,31.114200299954973,31.23139660002198,32.102079699980095,None,,,39,45,270880,001,2,2024-05-27_14h01.41.866,article1,2024.1.4,None,2024-05-27 14h01.51.630401 +0330,
,,,,32.465110199991614,,,,,,,,,32.45173319999594,32.465110199991614,33.10188900004141,33.101906699943356,33.19933380000293,33.19933380000293,33.19933380000293,,,,,,,,,,,,57,31,,,,,,,,,
