learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,right_polygon.started,left_polygon.started,learning_complete.stopped,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.011298900004476309,0.017836099956184626,0.017836099956184626,4.583710600039922,space,4.553392800036818,None,,,,,,,,,,,,,677959,001,2024-05-26_22h43.45.923,article1,2024.1.4,None,2024-05-26 22h43.52.658028 +0330,
0,0,0,0,4.596363499993458,,,,,,,,,4.584690399933606,4.596363499993458,5.904360000044107,5.580364299938083,5.580424200044945,5.904360000044107,5.904360000044107,5.904360000044107,5.904360000044107,5.904360000044107,9.657204100047238,None,677959,001,2024-05-26_22h43.45.923,article1,2024.1.4,None,2024-05-26 22h43.52.658028 +0330,
,,,,9.9954296000069,,,,,,,,,9.980148599948734,9.9954296000069,,10.595571300014853,10.595591499935836,10.700879300013185,10.700879300013185,10.700879300013185,10.700879300013185,10.700879300013185,,,,,,,,,,
