learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.030595499905757606,0.05079120001755655,0.05079120001755655,7.3107135000173,space,7.254179100040346,None,,,,,,,,,,,001779,001,1,2024-05-28_01h33.29.007,article1,2024.1.4,None,2024-05-28 01h33.34.260985 +0330,
,,,,7.317442499916069,,,,,,,,,7.3113696000073105,7.317442499916069,8.38774229993578,8.305237199994735,8.30526309995912,8.38774229993578,8.38774229993578,8.38774229993578,43,67,,,,,,,,,
