learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,text_no_resp.started,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,gain_reward,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.021086700027808547,0.03713439998682588,0.03713439998682588,1.6844403999857605,space,1.6353201000019908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,096530,001,1,2024-05-27_16h17.42.953,article1,2024.1.4,None,2024-05-27 16h17.48.733053 +0330,
0,0,0,0,1.6947609999915585,,,,,,,,,1.6852006999542937,1.6947609999915585,2.784535299986601,2.6793826000066474,2.6793930999701843,2.784535299986601,2.784535299986601,2.784535299986601,74,58,6.695881000021473,6.695881000021473,6.695881000021473,6.795221599983051,7.695487900055014,7.711752300034277,7.711752300034277,7.711752300034277,7.795440100017004,7.795440100017004,7.782127800048329,None,,,,,,096530,001,1,2024-05-27_16h17.42.953,article1,2024.1.4,None,2024-05-27 16h17.48.733053 +0330,
1,0,1,0,8.145726199960336,,,,,,,,,8.133930900017731,8.695655600051396,9.7486390999984,9.683888699975796,9.68390860001091,9.7486390999984,9.7486390999984,9.7486390999984,30,79,13.695259999949485,13.695259999949485,13.695259999949485,13.761581699945964,14.695229999953881,14.695229999953881,14.695229999953881,14.695229999953881,14.761123099946417,14.761123099946417,14.750698399962857,None,,,,,,096530,001,1,2024-05-27_16h17.42.953,article1,2024.1.4,None,2024-05-27 16h17.48.733053 +0330,
2,0,2,0,15.112493599997833,,,,,,,,,15.098205300047994,15.695832700002939,16.74695169995539,16.682063600048423,16.682087299996056,16.74695169995539,16.74695169995539,16.74695169995539,,,20.694731099996716,20.694731099996716,20.694731099996716,20.76123489998281,21.695652100024745,21.695652100024745,21.695652100024745,21.695652100024745,21.760945899994113,21.760945899994113,21.750219500041567,right,77,47,47,0.34967150003649294,0.15185360005125403,096530,001,1,2024-05-27_16h17.42.953,article1,2024.1.4,None,2024-05-27 16h17.48.733053 +0330,
,,,,22.11166409996804,,,,,,,,,22.099085099995136,22.695264199981466,23.74722749995999,23.68229639995843,23.682317500002682,23.74722749995999,23.74722749995999,23.74722749995999,,,,,,,,,,,,,,,51,50,,,,,,,,,,,,
