learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,right_polygon.started,left_image.stopped,right_image.stopped,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.015126200043596327,0.019987500039860606,0.019987500039860606,0.46995609998703003,space,0.4442999999737367,None,,,,,,,,,,,,,,,,,449002,001,2024-05-26_22h54.29.586,article1,2024.1.4,None,2024-05-26 22h54.36.980002 +0330,
0,0,0,0,0.48138810007367283,,,,,,,,,0.47092310001607984,0.48138810007367283,1.7281315000727773,1.465275099966675,1.4653036000672728,1.7281315000727773,1.7281315000727773,1.7281315000727773,2.0763307000743225,right,0.3339501000009477,None,,,,,449002,001,2024-05-26_22h54.29.586,article1,2024.1.4,None,2024-05-26 22h54.36.980002 +0330,
1,0,1,0,2.413647699984722,,,,,,,,,2.3989289000164717,2.413647699984722,3.4685759000713006,3.39753680001013,3.397552700014785,3.4685759000713006,3.4685759000713006,3.4685759000713006,4.369237300008535,right,0.8314284000080079,None,,,,,449002,001,2024-05-26_22h54.29.586,article1,2024.1.4,None,2024-05-26 22h54.36.980002 +0330,
2,0,2,0,4.697028300026432,,,,,,,,,4.68137690005824,4.697028300026432,5.77593640005216,5.680937799974345,5.680964200058952,5.77593640005216,5.77593640005216,5.77593640005216,6.069500199984759,right,0.2600178000284359,None,,,,,449002,001,2024-05-26_22h54.29.586,article1,2024.1.4,None,2024-05-26 22h54.36.980002 +0330,
3,0,3,0,6.413950299960561,,,,,,,,,6.402433700044639,6.413950299960561,7.491379700019024,7.397213399992324,7.397236600052565,7.491379700019024,7.491379700019024,7.491379700019024,7.7967203999869525,right,0.24907769996207207,None,,,,,449002,001,2024-05-26_22h54.29.586,article1,2024.1.4,None,2024-05-26 22h54.36.980002 +0330,
4,0,4,0,8.130400600028224,,,,,,,,,8.114883900037967,8.130400600028224,9.228604600066319,9.114661799976602,9.114696300006472,9.228604600066319,9.228604600066319,9.228604600066319,14.122490899986587,None,,,13.29026859998703,13.394792800070718,13.394792800070718,13.394792800070718,449002,001,2024-05-26_22h54.29.586,article1,2024.1.4,None,2024-05-26 22h54.36.980002 +0330,
