learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,reward_C,reward_A2,gain_reward,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.05325749993789941,0.07675319991540164,0.07675319991540164,7.919587199925445,space,7.836271699983627,None,,,,,,,,,,,,,,,,,,,,,,,,,,163525,001,1,2024-05-27_20h54.23.899,article1,2024.1.4,None,2024-05-27 20h54.30.919897 +0330,
0,0,0,0,7.941642599995248,,,,,,,,,7.9207155999029055,7.941642599995248,8.923434700001962,8.923464999999851,9.195041799917817,9.195041799917817,9.195041799917817,39,78,12.94230809994042,12.94230809994042,12.94230809994042,13.209482199978083,13.943815899896435,13.943815899896435,13.943815899896435,14.210779799963348,14.210779799963348,14.925775999901816,15.957919499953277,15.9345522999065,None,,,,163525,001,1,2024-05-27_20h54.23.899,article1,2024.1.4,None,2024-05-27 20h54.30.919897 +0330,
,,,,16.309654299984686,,,,,,,,,16.297872399911284,16.309654299984686,17.29781669995282,17.29783709999174,17.413459499948658,17.413459499948658,17.413459499948658,,,21.325373400002718,21.325373400002718,21.325373400002718,21.45938249991741,22.326927299960516,22.326927299960516,22.326927299960516,22.426245199982077,22.426245199982077,,,,,54,75,75,,,,,,,,,
