5.1909 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
5.1916 	INFO 	Loaded monitor calibration from ['2024_05_21 12:08']
5.3447 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016C5450DB50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016C5450DAF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1, 1, 1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016C5450D940>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000016C548987C0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.3448 	EXP 	window1: mouseVisible = True
5.3448 	EXP 	window1: backgroundImage = ''
5.3448 	EXP 	window1: backgroundFit = 'none'
5.3449 	EXP 	window1: mouseVisible = True
5.3451 	EXP 	window1: mouseVisible = True
5.3462 	EXP 	window1: mouseVisible = True
5.3466 	EXP 	window1: mouseVisible = True
5.3501 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3509 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3517 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3528 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3539 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3546 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3555 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3564 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3569 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3574 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3582 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.3589 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
