learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.029144300031475723,0.049539800034835935,0.049539800034835935,3.961505400016904,space,3.901195199927315,None,,,,,,,,,,,,,,,,,,,,,,,,,664086,001,1,2024-05-27_22h28.28.048,article1,2024.1.4,None,2024-05-27 22h28.41.356496 +0330,
0,0,0,0,3.9844393000239506,,,,,,,,,3.962686200044118,3.9844393000239506,4.971316300099716,4.9713389000389725,5.13231950008776,5.13231950008776,5.13231950008776,82,60,8.983150899992324,8.983150899992324,8.983150899992324,9.133488800027408,9.985191600047983,9.985191600047983,9.985191600047983,10.13515180000104,10.13515180000104,10.999206000007689,12.015911400085315,11.994170700083487,None,,,664086,001,1,2024-05-27_22h28.28.048,article1,2024.1.4,None,2024-05-27 22h28.41.356496 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.354909299989231,12.36682960006874,,,,,,,,,
