learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.005849699955433607,0.010838399990461767,0.010838399990461767,0.42522410000674427,space,0.4037895000074059,None,,,,,,,,,,,,,,,,,,,,,,,,602686,001,2024-05-27_11h52.40.240,article1,2024.1.4,None,2024-05-27 11h52.44.395221 +0330,
0,0,0,0,0.43860679992940277,,,,,,,,,0.42585299990605563,0.43860679992940277,1.5596770999254659,1.4223933999892324,1.42240739997942,1.5596770999254659,1.5596770999254659,1.5596770999254659,74,56,5.439231299911626,5.439231299911626,5.439231299911626,5.572484300006181,6.426211099955253,right,0.4034665999934077,0.22046979994047433,,,,,,602686,001,2024-05-27_11h52.40.240,article1,2024.1.4,None,2024-05-27 11h52.44.395221 +0330,
1,0,1,0,6.793587099993601,,,,,,,,,6.779234699904919,6.793587099993601,,7.42683519993443,7.426855499972589,7.488298199954443,7.488298199954443,7.488298199954443,64,9,11.429067399934866,11.429067399934866,11.429067399934866,11.506880400003865,12.42651349992957,None,,,,,,,,602686,001,2024-05-27_11h52.40.240,article1,2024.1.4,None,2024-05-27 11h52.44.395221 +0330,
2,0,2,0,12.793941400013864,,,,,,,,,12.778992699924856,12.793941400013864,,13.427631799946539,13.427682299981825,13.514707900001667,13.514707900001667,13.514707900001667,,,17.425722599960864,17.425722599960864,17.425722599960864,17.526261999970302,18.42696499999147,right,0.6088535999879241,0.20038169994950294,85,61,18.426775599946268,18.426775599946268,18.426775599946268,602686,001,2024-05-27_11h52.40.240,article1,2024.1.4,None,2024-05-27 11h52.44.395221 +0330,
3,0,3,0,18.793355599977076,,,,,,,,,18.777933400007896,18.793355599977076,,19.42652619990986,19.426545599941164,19.49999589996878,19.49999589996878,19.49999589996878,,,23.429850399959832,23.429850399959832,23.429850399959832,23.510230500018224,24.42569599999115,left,0.5098918000003323,0.1344884999562055,60,47,,,,602686,001,2024-05-27_11h52.40.240,article1,2024.1.4,None,2024-05-27 11h52.44.395221 +0330,
,,,,24.793206200003624,,,,,,,,,24.778601599973626,24.793206200003624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
