learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,reward_A1,reward_B,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.021849299897439778,0.03633499995339662,0.03633499995339662,2.5858777998946607,space,2.5335708999773487,None,,,,,,,,,,,,,,,,,,,,,,,,,,947579,001,1,2024-05-27_16h28.46.311,article1,2024.1.4,None,2024-05-27 16h28.50.588101 +0330,
0,0,0,0,2.5950344000011683,,,,,,,,,2.5867349999025464,2.5950344000011683,3.7014161999104545,3.582927899900824,3.5829483999405056,3.7014161999104545,3.7014161999104545,3.7014161999104545,51,44,3.7014161999104545,4.711722099920735,7.595234200009145,7.595234200009145,7.595234200009145,7.7117114999564365,8.595645800000057,8.595645800000057,8.595645800000057,8.711349499993958,8.711349499993958,8.700656299944967,None,,,947579,001,1,2024-05-27_16h28.46.311,article1,2024.1.4,None,2024-05-27 16h28.50.588101 +0330,
1,0,1,0,9.195059199933894,,,,,,,,,9.181376899941824,9.195059199933894,10.248632799950428,10.181628299993463,10.18165019992739,10.248632799950428,10.248632799950428,10.248632799950428,,,10.248632799950428,11.262001800001599,14.194907299941406,14.194907299941406,14.194907299941406,14.261823799926788,15.195270299911499,15.195270299911499,15.195270299911499,15.261589800007641,15.261589800007641,15.248873999924399,None,71,36,947579,001,1,2024-05-27_16h28.46.311,article1,2024.1.4,None,2024-05-27 16h28.50.588101 +0330,
,,,,15.611668800003827,,,,,,,,,15.597919099964201,15.611668800003827,,16.59780160000082,16.597815899993293,16.66606179997325,16.66606179997325,16.66606179997325,78,65,16.66606179997325,17.67829489998985,,,,,,,,,,,,,,,,,,,,,,
