learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.022551200003363192,0.05435099999886006,0.05435099999886006,3.2315885999705642,space,3.129668499925174,None,,,,,,,,,,,,,,,,,,,,,,,,,,358711,001,1,2024-05-27_16h08.07.619,article1,2024.1.4,None,2024-05-27 16h08.14.144008 +0330,
0,0,0,0,3.2455757999559864,,,,,,,,,3.2322370999027044,3.2455757999559864,4.231950599933043,4.231963999918662,4.352396899950691,4.352396899950691,4.352396899950691,61,47,5.2296970000024885,6.229993899934925,8.230281099909917,8.230281099909917,8.230281099909917,8.363517299992964,9.246498199994676,9.246498199994676,9.246498199994676,9.363129499950446,9.363129499950446,9.350356399896555,None,,,,358711,001,1,2024-05-27_16h08.07.619,article1,2024.1.4,None,2024-05-27 16h08.14.144008 +0330,
1,0,1,0,9.712128899991512,,,,,,,,,9.698956599924713,9.712128899991512,10.699246999924071,10.699266899959184,10.766659099957906,10.766659099957906,10.766659099957906,68,42,11.712923299986869,12.713357199914753,14.71242519991938,14.71242519991938,14.71242519991938,14.779330899938941,15.71265429991763,15.71265429991763,15.71265429991763,15.778983299969696,15.778983299969696,15.767966399900615,None,,,,358711,001,1,2024-05-27_16h08.07.619,article1,2024.1.4,None,2024-05-27 16h08.14.144008 +0330,
2,0,2,0,16.130048399907537,,,,,,,,,16.118023599963635,16.130048399907537,17.115470099961385,17.11549189989455,17.182075599906966,17.182075599906966,17.182075599906966,,,18.129806399927475,19.129541200003587,21.128809699905105,21.128809699905105,21.128809699905105,21.195699999923818,22.129603799898177,22.129603799898177,22.129603799898177,22.195449799997732,22.195449799997732,22.18531129998155,None,17.182075599906966,77,45,358711,001,1,2024-05-27_16h08.07.619,article1,2024.1.4,None,2024-05-27 16h08.14.144008 +0330,
,,,,22.54518979997374,,,,,,,,,22.53060529998038,22.54518979997374,23.53205529996194,23.53207369998563,23.582251099986024,23.582251099986024,23.582251099986024,67,9,24.52934439992532,25.529808199964464,,,,,,,,,,,,,,,,,,,,,,,
