learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0075891000451520085,0.02748679998330772,0.02748679998330772,2.9784616000251845,space,2.900808100006543,None,,,,,,,,,,,,,281760,001,2024-05-26_22h06.21.956,article1,2024.1.4,None,2024-05-26 22h06.29.555154 +0330,
0,0,0,0,2.9856108999811113,,,,,,,,,2.9800929999910295,2.9856108999811113,4.197051200084388,3.976552400039509,3.976591399987228,4.197051200084388,4.197051200084388,4.197051200084388,8.045848399982788,None,,,281760,001,2024-05-26_22h06.21.956,article1,2024.1.4,None,2024-05-26 22h06.29.555154 +0330,
1,0,1,0,8.408676500082947,,,,,,,,,8.39390370005276,8.408676500082947,,8.991885400027968,8.991937300073914,9.109584500081837,9.109584500081837,9.109584500081837,9.723788100061938,right,0.5539439000422135,None,281760,001,2024-05-26_22h06.21.956,article1,2024.1.4,None,2024-05-26 22h06.29.555154 +0330,
2,0,2,0,10.09203920001164,,,,,,,,,10.07608380005695,10.09203920001164,11.206522300024517,11.076164900092408,11.076203500037082,11.206522300024517,11.206522300024517,11.206522300024517,12.410813300055452,right,1.1118384000146762,None,281760,001,2024-05-26_22h06.21.956,article1,2024.1.4,None,2024-05-26 22h06.29.555154 +0330,
3,0,3,0,12.776261600083672,,,,,,,,,12.76003020000644,12.776261600083672,13.868755600065924,13.76018910005223,13.760219400050119,13.868755600065924,13.868755600065924,13.868755600065924,15.79720840009395,right,1.8663605999900028,None,281760,001,2024-05-26_22h06.21.956,article1,2024.1.4,None,2024-05-26 22h06.29.555154 +0330,
4,0,4,0,16.159100800054148,,,,,,,,,16.145471499999985,16.159100800054148,17.255796100012958,17.144796199980192,17.144830400007777,17.255796100012958,17.255796100012958,17.255796100012958,18.709340500063263,right,1.347161200013943,None,281760,001,2024-05-26_22h06.21.956,article1,2024.1.4,None,2024-05-26 22h06.29.555154 +0330,
