learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.037263300037011504,0.06543800001963973,0.06543800001963973,4.2315535000525415,space,4.157563599990681,None,,,,,,,,,,,,,,,,,,,,,,,,,193047,001,2,2024-05-27_21h52.39.542,article1,2024.1.4,None,2024-05-27 21h52.50.452449 +0330,
0,0,0,0,4.239737399970181,,,,,,,,,4.232700899941847,4.239737399970181,5.406044299947098,5.2294163999613374,5.2294456999516115,5.406044299947098,5.406044299947098,5.406044299947098,58,64,64,9.25644889997784,9.25644889997784,9.25644889997784,9.423049399978481,9.757497400045395,9.757497400045395,9.757497400045395,10.407465000054799,10.407465000054799,11.230958099942654,right,3.0719214000273496,0.09257179999258369,193047,001,2,2024-05-27_21h52.39.542,article1,2024.1.4,None,2024-05-27 21h52.50.452449 +0330,
1,0,1,0,11.607046499964781,,,,,,,,,11.595418100012466,11.607046499964781,12.675244400044903,12.595256399945356,12.595276099978946,12.675244400044903,12.675244400044903,12.675244400044903,49,46,46,16.62298370001372,16.62298370001372,16.62298370001372,16.72265669994522,17.12356350000482,17.12356350000482,17.12356350000482,17.673320399946533,17.673320399946533,18.597794199944474,left,0.47678989998530596,0.09683150006458163,193047,001,2,2024-05-27_21h52.39.542,article1,2024.1.4,None,2024-05-27 21h52.50.452449 +0330,
,,,,18.973443900002167,,,,,,,,,18.963242399971932,18.973443900002167,20.059585600043647,19.963385400013067,19.963404400041327,20.059585600043647,20.059585600043647,20.059585600043647,61,45,,,,,,,,,,,,,,,,,,,,,,,
