learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,reward_A1,reward_B,fixation1.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.021959599922411144,0.038677699980326,0.038677699980326,12.467117699910887,space,12.423439500038512,None,,,,,,,,,,,,,,,,,,,,,,,,,,832749,001,1,2024-05-27_15h49.30.475,article1,2024.1.4,None,2024-05-27 15h49.35.331473 +0330,
0,0,0,0,12.479101000004448,,,,,,,,,12.46792949992232,12.479101000004448,13.467471499927342,13.46749169996474,13.585152299958281,13.585152299958281,13.585152299958281,44,49,13.585152299958281,14.597281399997883,17.479471399914473,17.479471399914473,17.479471399914473,17.59556419996079,18.479151799925603,18.479151799925603,18.479151799925603,18.59475249995012,18.59475249995012,18.584245799924247,None,,,,832749,001,1,2024-05-27_15h49.30.475,article1,2024.1.4,None,2024-05-27 15h49.35.331473 +0330,
1,0,1,0,18.946398800006136,,,,,,,,,18.931102799950168,18.946398800006136,19.932191099971533,19.93220859998837,19.998944699997082,19.998944699997082,19.998944699997082,,,19.998944699997082,21.012629400007427,23.945247899973765,23.945247899973765,23.945247899973765,24.012019999907352,24.945945799932815,24.945945799932815,24.945945799932815,25.01172999991104,25.01172999991104,25.000622399966232,None,51,75,,832749,001,1,2024-05-27_15h49.30.475,article1,2024.1.4,None,2024-05-27 15h49.35.331473 +0330,
,,,,25.36218239995651,,,,,,,,,25.349267899990082,25.36218239995651,26.349697300000116,26.34971839992795,26.415081499959342,26.415081499959342,26.415081499959342,,,26.415081499959342,27.429943199967965,,,,,,,,,,,,67,51,26.415081499959342,,,,,,,,,
