learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.04019620001781732,0.05415240000002086,0.05415240000002086,3.5532898000674322,space,3.483047500019893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229366,001,1,2024-05-28_01h44.15.028,article1,2024.1.4,None,2024-05-28 01h44.21.343287 +0330,
0,0,0,0,,,,,3.565694299992174,,,,,,,,,3.5539373999927193,3.565694299992174,4.635620100074448,4.5507267999928445,4.550742799998261,4.635620100074448,4.635620100074448,4.635620100074448,71,40,40,8.56543519999832,8.56543519999832,8.56543519999832,8.648694099974819,9.565438400022686,9.565438400022686,9.565438400022686,9.648398800054565,9.648398800054565,10.566974600078538,right,3.000353100011125,0.0845794000197202,,,,,,,,,,,,,,,,,,,,,,,,,,,,229366,001,1,2024-05-28_01h44.15.028,article1,2024.1.4,None,2024-05-28 01h44.21.343287 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.917124500032514,10.931817100034095,10.931817100034095,12.984872800065205,space,2.045530100003816,None,,,,,,,,,,,,,,,,,,,,,229366,001,1,2024-05-28_01h44.15.028,article1,2024.1.4,None,2024-05-28 01h44.21.343287 +0330,
,,,,,,,,12.998635100084357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98547190008685,12.998635100084357,14.052233200054616,13.983893800061196,13.98390760004986,14.052233200054616,14.052233200054616,14.052233200054616,17.41427290008869,18.430477800080553,18.430477800080553,18.430477800080553,19.463751300005242,19.43335730000399,right,2.3372976999962702,None,19.43366810004227,19.463751300005242,0.0033292999723926187,,,,,,,,,
