learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse.started,mouse.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.024256700067780912,0.03731559996958822,0.03731559996958822,3.488958499976434,space,3.437404200085439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680114,001,1,2024-05-28_01h11.43.041,article1,2024.1.4,None,2024-05-28 01h11.48.181525 +0330,
0,0,0,0,,,,,3.4971668999642134,,,,,,,,,3.489653900032863,3.4971668999642134,4.584439099999145,4.483524200040847,4.483543900074437,4.584439099999145,4.584439099999145,4.584439099999145,69,38,8.49732279998716,8.49732279998716,8.49732279998716,8.597831799997948,9.497852600063197,9.497852600063197,9.497852600063197,9.598526800051332,9.598526800051332,10.497504999977536,11.497027200064622,11.485794099979103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680114,001,1,2024-05-28_01h11.43.041,article1,2024.1.4,None,2024-05-28 01h11.48.181525 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.200458800070919,12.215451800031587,12.215451800031587,13.183601299999282,space,0.9654061000328511,None,,,,,,,,,,,,,,,,,,,,,,680114,001,1,2024-05-28_01h11.43.041,article1,2024.1.4,None,2024-05-28 01h11.48.181525 +0330,
,,,,,,,,13.197008799994364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.183991100057028,13.197008799994364,14.250929399975576,14.182292000041343,14.182304400019348,14.250929399975576,14.250929399975576,14.250929399975576,15.63225040002726,16.64618280006107,16.64618280006107,16.64618280006107,17.67964570003096,17.65058370004408,right,0.3545927000232041,None,17.651565800071694,17.67964570003096,0.0077368998900055885,1.0148192999185994,,,,,,,,,
