learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.06768630002625287,0.07919580000452697,0.07919580000452697,3.976269999984652,space,3.88986009999644,None,,,,,,,,,,,,,,,,,,,879799,001,1,2024-05-27_14h10.52.864,article1,2024.1.4,None,2024-05-27 14h11.01.630480 +0330,
0,0,0,0,3.9933719999389723,,,,,,,,,3.978510499931872,3.9933719999389723,4.982922800001688,4.9829496999736875,5.238659300026484,5.238659300026484,5.238659300026484,65,55,65,8.99371730000712,8.99371730000712,8.99371730000712,9.244882700033486,9.983121099998243,left,2.2661594999954104,0.2162826000712812,879799,001,1,2024-05-27_14h10.52.864,article1,2024.1.4,None,2024-05-27 14h11.01.630480 +0330,
1,0,1,0,10.361396000022069,,,,,,,,,10.350075099966489,10.361396000022069,10.981451399973594,10.981473500025459,11.080897200037725,11.080897200037725,11.080897200037725,55,32,,14.993098499951884,14.993098499951884,14.993098499951884,15.110190300038084,15.996402799966745,None,,,879799,001,1,2024-05-27_14h10.52.864,article1,2024.1.4,None,2024-05-27 14h11.01.630480 +0330,
2,0,2,0,16.361744199995883,,,,,,,,,16.35074609995354,16.361744199995883,16.98665410000831,16.98668169998564,17.098379999981262,17.098379999981262,17.098379999981262,58,19,58,20.994049399974756,20.994049399974756,20.994049399974756,21.14406510000117,21.99859259999357,left,1.143196600023657,0.13581909995991737,879799,001,1,2024-05-27_14h10.52.864,article1,2024.1.4,None,2024-05-27 14h11.01.630480 +0330,
3,0,3,0,22.36178369994741,,,,,,,,,22.350315999938175,22.36178369994741,22.981038699974306,22.981062500039116,23.099379600025713,23.099379600025713,23.099379600025713,46,37,37,26.994341999990866,26.994341999990866,26.994341999990866,27.128266499959864,27.997496300027706,right,0.7663740999996662,0.14310569991357625,879799,001,1,2024-05-27_14h10.52.864,article1,2024.1.4,None,2024-05-27 14h11.01.630480 +0330,
,,,,28.36176030000206,,,,,,,,,28.349773099995218,28.36176030000206,28.984500500024296,28.98452149995137,29.080177500029095,29.080177500029095,29.080177500029095,57,51,,,,,,,,,,,,,,,,,,
