learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,reward_C,reward_A2,gain_reward,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.053321999963372946,0.07665559998713434,0.07665559998713434,9.021801800001413,space,8.935486600035802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643794,001,1,2024-05-27_21h18.08.364,article1,2024.1.4,None,2024-05-27 21h18.17.832578 +0330,
0,0,0,0,9.044028799980879,,,,,,,,,9.02295969997067,9.044028799980879,10.035306999925524,10.035335299908184,10.187027799896896,10.187027799896896,10.187027799896896,46,46,14.044438199955039,14.044438199955039,14.044438199955039,14.194220299948938,15.044701499980874,15.044701499980874,15.044701499980874,15.195727699901909,15.195727699901909,16.061256399960257,17.092363599920645,17.074630199931562,None,,,,,,,643794,001,1,2024-05-27_21h18.08.364,article1,2024.1.4,None,2024-05-27 21h18.17.832578 +0330,
1,0,1,0,17.44458169990685,,,,,,,,,17.43456069997046,17.44458169990685,18.43403419991955,18.43406179989688,18.53154639992863,18.53154639992863,18.53154639992863,,,22.460400699987076,22.460400699987076,22.460400699987076,22.560398699948564,23.479301399900578,23.479301399900578,23.479301399900578,23.545107699930668,23.545107699930668,,,24.43607339996379,right,18.53154639992863,48,56,56,0.3093002999667078,0.1325694000115618,643794,001,1,2024-05-27_21h18.08.364,article1,2024.1.4,None,2024-05-27 21h18.17.832578 +0330,
2,0,2,0,24.811023599933833,,,,,,,,,24.79959409998264,24.811023599933833,25.799578999984078,25.799598199897446,25.880010699969716,25.880010699969716,25.880010699969716,,,,,,,,,,,,,,27.386708999983966,left,25.880010699969716,57,88,88,1.4964106000261381,None,643794,001,1,2024-05-27_21h18.08.364,article1,2024.1.4,None,2024-05-27 21h18.17.832578 +0330,
3,0,3,0,27.760627599898726,,,,,,,,,27.749369299970567,27.760627599898726,28.749530299915932,28.749554499983788,28.848517399979755,28.848517399979755,28.848517399979755,,,32.77700179989915,32.77700179989915,32.77700179989915,32.87633429991547,33.77756049996242,33.77756049996242,33.77756049996242,33.86038329999428,33.86038329999428,,,34.753320499905385,right,,33,80,33,1.129859699984081,0.0805067999754101,643794,001,1,2024-05-27_21h18.08.364,article1,2024.1.4,None,2024-05-27 21h18.17.832578 +0330,
4,0,4,0,35.12806289992295,,,,,,,,,35.116948399925604,35.12806289992295,36.116517299902625,36.116543199983425,36.21485369990114,36.21485369990114,36.21485369990114,49,71,,,,,,,,,,,,37.052010699990205,left,36.21485369990114,,,49,0.8292336000595242,None,643794,001,1,2024-05-27_21h18.08.364,article1,2024.1.4,None,2024-05-27 21h18.17.832578 +0330,
,,,,37.428213399951346,,,,,,,,,37.415846699965186,37.428213399951346,38.41569059994072,38.41572269995231,38.512601299909875,38.512601299909875,38.512601299909875,,,,,,,,,,,,,,,,,58,70,,,,,,,,,,,,
