learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,left_learning_reward.stopped,right_learning_reward.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007906400016508996,0.01201720000244677,0.01201720000244677,2.6430301000364125,space,2.6204731999896467,None,,,,,,,,,,,,,,,,,418672,001,2024-05-27_01h05.23.460,article1,2024.1.4,None,2024-05-27 01h08.26.351018 +0330,
0,0,0,0,2.6549802999943495,,,,,,,,,2.644016099977307,2.6549802999943495,3.739508599974215,3.638467099983245,3.638477999949828,3.739508599974215,3.739508599974215,3.739508599974215,7.65479719999712,7.65479719999712,7.65479719999712,7.755356899928302,8.652860700036399,None,,,418672,001,2024-05-27_01h05.23.460,article1,2024.1.4,None,2024-05-27 01h08.26.351018 +0330,
1,0,1,0,9.026125999982469,,,,,,,,,9.01160870003514,9.026125999982469,,9.644981099991128,9.645003999932669,9.72802109993063,9.72802109993063,9.72802109993063,13.643804599996656,13.643804599996656,13.643804599996656,13.743045900017023,14.644294600002468,None,14.643986699986272,14.643986699986272,418672,001,2024-05-27_01h05.23.460,article1,2024.1.4,None,2024-05-27 01h08.26.351018 +0330,
,,,,15.010035999934189,,,,,,,,,14.994490399956703,15.010035999934189,,15.643998199957423,15.644208299927413,15.742963599972427,15.742963599972427,15.742963599972427,,,,,,,,,,,,,,,,
