learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.014639799948781729,0.028015799936838448,0.028015799936838448,3.579207199974917,space,3.5347621999680996,None,,,,,,,,,,,,,513631,001,2024-05-26_22h08.03.437,article1,2024.1.4,None,2024-05-26 22h08.13.142624 +0330,
0,0,0,0,3.5943791000172496,,,,,,,,,3.5808248999528587,3.5943791000172496,4.8030520000029355,4.580267900018953,4.580297700013034,4.8030520000029355,4.8030520000029355,4.8030520000029355,5.418896400020458,right,0.498081500059925,None,513631,001,2024-05-26_22h08.03.437,article1,2024.1.4,None,2024-05-26 22h08.13.142624 +0330,
1,0,1,0,5.776607399922796,,,,,,,,,5.7617957999464124,5.776607399922796,,6.761912000016309,6.761947599938139,6.868521599913947,6.868521599913947,6.868521599913947,8.832069299998693,right,1.933437200030312,None,513631,001,2024-05-26_22h08.03.437,article1,2024.1.4,None,2024-05-26 22h08.13.142624 +0330,
2,0,2,0,9.27667880000081,,,,,,,,,9.26066799997352,9.27667880000081,10.361585599952377,10.259938000002876,10.259962799958885,10.361585599952377,10.361585599952377,10.361585599952377,10.656000499962829,right,0.27547729993239045,None,513631,001,2024-05-26_22h08.03.437,article1,2024.1.4,None,2024-05-26 22h08.13.142624 +0330,
3,0,3,0,11.026220600004308,,,,,,,,,11.010708499932662,11.026220600004308,12.11884100001771,12.010606299969368,12.010643500019796,12.11884100001771,12.11884100001771,12.11884100001771,16.073578299954534,None,,,513631,001,2024-05-26_22h08.03.437,article1,2024.1.4,None,2024-05-26 22h08.13.142624 +0330,
4,0,4,0,16.495140200015157,,,,,,,,,16.47965639992617,16.495140200015157,,17.01240779994987,17.012502899975516,17.12349149992224,17.12349149992224,17.12349149992224,21.038650600006804,None,,,513631,001,2024-05-26_22h08.03.437,article1,2024.1.4,None,2024-05-26 22h08.13.142624 +0330,
