training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0026771000120788813,0.005791899980977178,0.005791899980977178,1.1431412999518216,space,1.1283029000042006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785196,001,1,2024-05-28_15h24.44.255,article1,2024.1.4,None,2024-05-28 15h24.52.825485 +0330,
0,0,0,0,,,,,1.1533738999860361,,,,,,,,,1.1443244999973103,1.1533738999860361,2.1515399999916553,2.15161459997762,2.4308851999230683,2.4308851999230683,2.4308851999230683,6.1527429999550804,6.1527429999550804,6.1527429999550804,6.436111400020309,7.152440599980764,7.152440599980764,7.152440599980764,7.434818599955179,7.434818599955179,8.156722399988212,right,1.8864394999109209,0.10317240003496408,,,,,,,,,,,,,,,,,,,,,,,785196,001,1,2024-05-28_15h24.44.255,article1,2024.1.4,None,2024-05-28 15h24.52.825485 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.157614900032058,8.167822499992326,8.167822499992326,9.571674300008453,space,1.3944296999834478,None,,,,,,,,,,,,,,,,785196,001,1,2024-05-28_15h24.44.255,article1,2024.1.4,None,2024-05-28 15h24.52.825485 +0330,
,,,,,,,,9.58486860000994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57335179997608,9.58486860000994,10.690069900010712,10.56819080002606,10.568214599974453,10.690069900010712,10.690069900010712,10.690069900010712,41,76,76,14.585510400007479,14.585510400007479,14.585510400007479,14.70334649994038,,,,,,,,,
