learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,gain_reward,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.042481700074858963,0.06801010004710406,0.06801010004710406,3.449212500010617,space,3.3647691999794915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691163,001,1,2024-05-27_16h30.15.857,article1,2024.1.4,None,2024-05-27 16h30.22.825501 +0330,
0,0,0,0,3.4603235999820754,,,,,,,,,3.4502273000543937,3.4603235999820754,4.565584200085141,4.446373700047843,4.44639180006925,4.565584200085141,4.565584200085141,4.565584200085141,39,48,4.565584200085141,5.5761572000337765,8.459558599977754,8.459558599977754,8.459558599977754,8.576100600068457,9.459927699994296,9.459927699994296,9.459927699994296,9.57606420002412,9.57606420002412,9.563058500061743,None,,,,,,691163,001,1,2024-05-27_16h30.15.857,article1,2024.1.4,None,2024-05-27 16h30.22.825501 +0330,
1,0,1,0,9.927042299997993,,,,,,,,,9.914228499983437,9.927042299997993,10.979330700007267,10.91255790006835,10.912573800073005,10.979330700007267,10.979330700007267,10.979330700007267,,,10.979330700007267,11.992881900048815,14.926292499992996,14.926292499992996,14.926292499992996,14.9931333999848,15.926533800084144,15.926533800084144,15.926533800084144,15.992468300042674,15.992468300042674,15.980687299976125,right,59,53,53,1.4773075999692082,0.07943769998382777,691163,001,1,2024-05-27_16h30.15.857,article1,2024.1.4,None,2024-05-27 16h30.22.825501 +0330,
,,,,16.343083700048737,,,,,,,,,16.32903270004317,16.343083700048737,,17.33088989998214,17.330912000034004,17.396600399981253,17.396600399981253,17.396600399981253,,,17.396600399981253,18.409347500069998,21.342661599977873,21.342661599977873,21.342661599977873,21.409358900040388,,,,,,,,68,57,57,,,,,,,,,,,
