training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,text_no_resp_0.started,text_no_resp_0.stopped,main_training.stopped,key_resp_0.keys,fixation0.stopped,key_resp_0.rt,key_resp_0.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0034892000257968903,0.006704899948090315,0.006704899948090315,0.4389590999344364,space,0.39332909998483956,None,,,,,,,,,,,,,,,,,,,,,,,,497847,001,1,2024-05-28_15h31.46.527,article1,2024.1.4,None,2024-05-28 15h31.57.511244 +0330,
0,0,0,0,0.44471209996845573,,,,,,,,,0.4399591999826953,0.44471209996845573,1.4423989999340847,1.4424228999996558,1.6105606999481097,1.6105606999481097,1.6105606999481097,5.443467100034468,5.443467100034468,5.443467100034468,5.609859099960886,6.443294500000775,6.443294500000775,6.443294500000775,6.608902300009504,6.608902300009504,7.459012100007385,8.458831500029191,8.451080300030299,None,,,,497847,001,1,2024-05-28_15h31.46.527,article1,2024.1.4,None,2024-05-28 15h31.57.511244 +0330,
1,0,1,0,8.458831500029191,,,,,,,,,8.451585500035435,8.458831500029191,9.44393059995491,9.443984200013801,9.55605419992935,9.55605419992935,9.55605419992935,13.460285399924032,13.460285399924032,13.460285399924032,13.560735199949704,14.46021089993883,14.46021089993883,14.46021089993883,14.559138200012967,14.559138200012967,,,15.459117699996568,right,9.55605419992935,0.34406029991805553,0.132278100005351,497847,001,1,2024-05-28_15h31.46.527,article1,2024.1.4,None,2024-05-28 15h31.57.511244 +0330,
,,,,15.475522299995646,,,,,,,,,15.460000399965793,15.475522299995646,16.460102999932133,16.460139799979515,16.536107099964283,16.536107099964283,16.536107099964283,20.459509099950083,20.459509099950083,20.459509099950083,20.54305109998677,21.459564300021157,21.459564300021157,21.459564300021157,21.542271599988453,21.542271599988453,,,,,16.536107099964283,,,,,,,,,,,
