9.0746 	EXP 	window1: mouseVisible = True
9.0758 	EXP 	Created fixation1 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.08, name='fixation1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.03, 0.06]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
9.0759 	EXP 	window1: mouseVisible = True
9.0787 	EXP 	Created left_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='left_image', opacity=1.0, ori=0.0, pos=array([-0.5,  0. ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.0787 	EXP 	window1: mouseVisible = True
9.0814 	EXP 	Created right_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='right_image', opacity=1.0, ori=0.0, pos=array([0.5, 0. ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.0815 	EXP 	window1: mouseVisible = True
9.0822 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([0., 0., 0.]), fillColorSpace='rgb', fillRGB=array([0., 0., 0.]), interpolate=True, lineColor=array([-0.5765,  0.0039,  1.    ]), lineColorSpace='rgb', lineRGB=array([-0.5765,  0.0039,  1.    ]), lineWidth=20.0, name='polygon', opacity=0.3, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...))
9.0823 	EXP 	window1: mouseVisible = True
9.0824 	EXP 	window1: mouseVisible = True
9.0827 	EXP 	window1: mouseVisible = True
9.0830 	EXP 	window1: mouseVisible = True
9.0857 	EXP 	window1: mouseVisible = True
9.0858 	EXP 	window1: mouseVisible = True
9.0861 	EXP 	window1: mouseVisible = True
9.0864 	EXP 	window1: mouseVisible = True
9.0888 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0896 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0903 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0910 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0914 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0919 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0926 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0932 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0937 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0938 	DEBUG 	Uploading Texture Font fontname to graphics card
9.0947 	DEBUG 	Upload of Texture Font fontname complete
9.0955 	EXP 	window1: mouseVisible = True
