learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,gain_reward,key_resp.rt,key_resp.duration,fixation1.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01829050004016608,0.028970599989406765,0.028970599989406765,1.2714138000737876,space,1.2291441999841481,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
0,0,0,0,1.2964108999585733,,,,,,,,,1.2725620999699458,1.2964108999585733,2.2844211000483483,2.284442999982275,2.505022400058806,2.505022400058806,2.505022400058806,42,58,6.295439500012435,6.295439500012435,6.295439500012435,6.530203900067136,7.296808299957775,7.296808299957775,7.296808299957775,7.513020300073549,7.513020300073549,8.295939899981022,9.311270100064576,9.28861719998531,None,,,,,,,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
1,0,1,0,9.662521100020967,,,,,,,,,9.651399099966511,9.662521100020967,10.65362009999808,10.653644800069742,10.749405500013381,10.749405500013381,10.749405500013381,,,,,,,,,,,,,,10.9551969000604,right,72,44,44,0.19256130000576377,None,,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
2,0,2,0,11.329402600065805,,,,,,,,,11.318288400070742,11.329402600065805,12.317311199964024,12.317329799989238,12.398145699989982,12.398145699989982,12.398145699989982,,,,,,,,,,,,,,13.422005900065415,right,52,24,24,1.0188256000401452,None,12.398145699989982,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
3,0,3,0,13.796750799985602,,,,,,,,,13.785515900002792,13.796750799985602,14.784360700054094,14.784393000067212,14.933248899993487,14.933248899993487,14.933248899993487,69,73,,,,,,,,,,,,14.940826400066726,right,,,69,0.0011816000333055854,None,14.933248899993487,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
4,0,4,0,15.312786599970423,,,,,,,,,15.30058659997303,15.312786599970423,16.30180580005981,16.301826799986884,16.397857500007376,16.397857500007376,16.397857500007376,,,,,,,,,,,,,,16.636586799984798,right,87,52,52,0.22634360007941723,None,,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
5,0,5,0,17.012768600019626,,,,,,,,,17.00191580003593,17.012768600019626,18.000813900027424,18.000835000071675,18.098620200064033,18.098620200064033,18.098620200064033,66,68,,,,,,,,,,,,18.370380599983037,right,,,66,0.2676546999718994,None,18.098620200064033,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
6,0,6,0,18.746464299969375,,,,,,,,,18.73527149995789,18.746464299969375,19.734847499988973,19.734868900035508,19.830948499962687,19.830948499962687,19.830948499962687,,,,,,,,,,,,,,19.954155900049955,right,57,76,76,0.11745990009512752,None,19.830948499962687,047074,001,1,2024-05-27_20h55.55.891,article1,2024.1.4,None,2024-05-27 20h56.04.239281 +0330,
,,,,20.329653799999505,,,,,,,,,20.31801330007147,20.329653799999505,21.31782110000495,21.317841100040823,21.415717000025325,21.415717000025325,21.415717000025325,85,61,,,,,,,,,,,,,,,,,,,21.415717000025325,,,,,,,,,
