learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation1.stopped,text_no_resp.started,text_no_resp.stopped,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01853350002784282,0.04269779997412115,0.04269779997412115,3.952638900023885,space,3.895769999944605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
0,0,0,0,3.974891799967736,,,,,,,,,3.9539199999999255,3.974891799967736,4.964246499934234,4.964284999994561,5.160549800028093,5.160549800028093,5.160549800028093,86,47,47,8.975529100047424,8.975529100047424,8.975529100047424,9.191687799990177,9.49319429998286,9.49319429998286,9.49319429998286,10.17568330001086,10.17568330001086,10.950429099961184,right,0.5843004999915138,0.10680489998776466,,,,,,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
1,0,1,0,11.491582999937236,,,,,,,,,11.480204400024377,11.491582999937236,12.479338299948722,12.479362500016578,12.577470000018366,12.577470000018366,12.577470000018366,96,60,,16.50800839997828,16.50800839997828,16.50800839997828,16.59205269999802,17.01033419999294,17.01033419999294,17.01033419999294,17.59228300000541,17.59228300000541,19.501541699981317,None,,,12.577470000018366,18.508312899968587,19.52378010004759,,,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
2,0,2,0,19.8758242999902,,,,,,,,,19.86530900001526,19.8758242999902,20.86322519998066,20.863248500041664,20.944141100044362,20.944141100044362,20.944141100044362,67,73,67,24.87510679999832,24.87510679999832,24.87510679999832,24.97500089998357,25.39256980002392,25.39256980002392,25.39256980002392,25.95859900000505,25.95859900000505,26.864865300012752,left,0.6354517000727355,0.11957570002414286,20.944141100044362,,,,,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
3,0,3,0,27.22486920002848,,,,,,,,,27.21269349998329,27.22486920002848,28.21278699999675,28.212809200049378,28.295023699989542,28.295023699989542,28.295023699989542,,,,32.240971399936825,32.240971399936825,32.240971399936825,32.341516499989666,32.74309140001424,32.74309140001424,32.74309140001424,33.30841880000662,33.30841880000662,35.217315200017765,None,,,,34.22388830001,35.24009079998359,79,41,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
4,0,4,0,35.59180029993877,,,,,,,,,35.58044689998496,35.59180029993877,36.57866370002739,36.578684599953704,36.6783847999759,36.6783847999759,36.6783847999759,58,50,,40.60776749998331,40.60776749998331,40.60776749998331,40.69242179999128,41.10933749994729,41.10933749994729,41.10933749994729,41.692412100033835,41.692412100033835,43.60010699997656,None,,,36.6783847999759,42.60757520003244,43.62318150000647,,,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
5,0,5,0,43.97552400000859,,,,,,,,,43.96444949996658,43.97552400000859,44.96410450001713,44.964127099956386,45.06140939996112,45.06140939996112,45.06140939996112,,,,48.991808900027536,48.991808900027536,48.991808900027536,49.09228230000008,49.50985120004043,49.50985120004043,49.50985120004043,50.075410199933685,50.075410199933685,51.98255529999733,None,,,,50.98954260000028,52.006097099976614,91,43,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
6,0,6,0,52.35846030001994,,,,,,,,,52.346907099941745,52.35846030001994,53.34828140004538,53.34830549999606,53.49454049998894,53.49454049998894,53.49454049998894,,,,57.37298959994223,57.37298959994223,57.37298959994223,57.52375279995613,57.8753674000036,57.8753674000036,57.8753674000036,58.50859550002497,58.50859550002497,60.370465100044385,None,,,,59.35786959994584,60.39006270002574,58,60,444368,001,2,2024-05-27_21h22.53.165,article1,2024.1.4,None,2024-05-27 21h23.04.192790 +0330,
,,,,60.74151089997031,,,,,,,,,60.728543099947274,60.74151089997031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
