learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.004843699978664517,0.028598199947737157,0.028598199947737157,1.0589389000087976,space,1.0137335000326857,None,,,,,,,843906,001,2024-05-26_20h58.45.637,article1,2024.1.4,None,2024-05-26 20h58.51.236155 +0330,
,,,,1.0945728999795392,,,,,,,,,1.06543249997776,1.0945728999795392,2.099839400034398,2.099865199998021,2.315800999989733,2.315800999989733,,,,,,,,
