learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,reward_A1,reward_B,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.004478800110518932,0.013044500024989247,0.013044500024989247,1.1264888000441715,space,1.0975862999912351,None,,,,,,,,,,,,,,,,,,,,,,232975,001,2024-05-27_11h45.16.456,article1,2024.1.4,None,2024-05-27 11h45.27.556228 +0330,
0,0,0,0,1.1384120000293478,,,,,,,,,1.1275817001005635,1.1384120000293478,2.235176300047897,2.1220372000243515,2.122048200108111,2.235176300047897,2.235176300047897,2.235176300047897,80,32,6.209870300022885,6.209870300022885,6.209870300022885,6.259842800092883,7.126815300085582,None,,,,,,232975,001,2024-05-27_11h45.16.456,article1,2024.1.4,None,2024-05-27 11h45.27.556228 +0330,
1,0,1,0,7.493277000030503,,,,,,,,,7.476970000076108,7.493277000030503,,8.128007500083186,8.128030400024727,8.2096633000765,8.2096633000765,8.2096633000765,59,26,12.127090700087138,12.127090700087138,12.127090700087138,12.209676400059834,13.12726430001203,None,13.127010800060816,13.127010800060816,13.127010800060816,,,232975,001,2024-05-27_11h45.16.456,article1,2024.1.4,None,2024-05-27 11h45.27.556228 +0330,
2,0,2,0,13.526303800055757,,,,,,,,,13.5095548001118,13.526303800055757,,14.12724810000509,14.127288000076078,14.206198600004427,14.206198600004427,14.206198600004427,57,24,18.127042000065558,18.127042000065558,18.127042000065558,18.20936010009609,19.14379350002855,None,19.125698600080796,19.125698600080796,19.125698600080796,,,232975,001,2024-05-27_11h45.16.456,article1,2024.1.4,None,2024-05-27 11h45.27.556228 +0330,
,,,,19.509304500068538,,,,,,,,,19.493761200108565,19.509304500068538,,20.127260100096464,20.12728270003572,20.208327800035477,20.208327800035477,20.208327800035477,,,,,,,,,,,,89,54,,,,,,,,
