learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,key_resp.rt,key_resp.duration,participant,session,learning_type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.030299499980174005,0.059928599977865815,0.059928599977865815,32.341229300014675,space,32.27743080002256,None,,,,,,,,,,,,,,,,,,,,,,,,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
0,0,0,0,32.34983820002526,,,,,,,,,32.34219520003535,32.34983820002526,33.47250100004021,33.33944030001294,33.33946719998494,33.47250100004021,33.47250100004021,33.47250100004021,56,63,37.34961060003843,37.34961060003843,37.34961060003843,37.48341330001131,38.350680500036106,38.350680500036106,38.350680500036106,38.353792699985206,None,,,,,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
1,0,1,0,38.71670890005771,,,,,,,,,38.70394499995746,38.71670890005771,,39.353554900037125,39.353572600055486,39.41993900004309,39.41993900004309,39.41993900004309,,,43.34973430004902,43.34973430004902,43.34973430004902,43.43299979995936,44.3504610999953,44.3504610999953,44.3504610999953,44.35406889999285,None,84,50,,,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
2,0,2,0,44.71645259996876,,,,,,,,,44.70260249997955,44.71645259996876,,45.352094499976374,45.35210749995895,45.41988419997506,45.41988419997506,45.41988419997506,,,49.3494601000566,49.3494601000566,49.3494601000566,49.4328996000113,50.34960590000264,50.34960590000264,50.34960590000264,50.351568400044926,None,62,49,,,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
3,0,3,0,50.71701609995216,,,,,,,,,50.70346790004987,50.71701609995216,,51.3528533000499,51.352873699972406,51.43565750005655,51.43565750005655,51.43565750005655,67,59,55.34937099996023,55.34937099996023,55.34937099996023,55.449542599963024,56.349681699997745,56.349681699997745,56.349681699997745,56.35251550003886,left,,,0.9488528000656515,0.2480397999752313,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
4,0,4,0,56.716451499960385,,,,,,,,,56.70288240001537,56.716451499960385,,57.35379860003013,57.35381690005306,57.41791590000503,57.41791590000503,57.41791590000503,,,61.34922249999363,61.34922249999363,61.34922249999363,61.432613000040874,62.34957530000247,62.34957530000247,62.34957530000247,62.35161620005965,None,69,53,,,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
5,0,5,0,62.716029200004414,,,,,,,,,62.70150129997637,62.716029200004414,,63.35329880006611,63.35331979999319,63.41756830003578,63.41756830003578,63.41756830003578,,,67.3505016999552,67.3505016999552,67.3505016999552,67.4167266000295,,,,68.35149579995777,None,90,49,,,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
6,0,6,0,68.71662309998646,,,,,,,,,68.70371629996225,68.71662309998646,,69.35211580002215,69.35213080001995,69.41747580002993,69.41747580002993,69.41747580002993,69,45,73.34882950002793,73.34882950002793,73.34882950002793,73.43279680004343,74.34954690001905,74.34954690001905,74.34954690001905,74.3519361000508,right,,,0.8314128000056371,0.2547749999212101,046242,001,1,2024-05-27_13h26.19.066,article1,2024.1.4,None,2024-05-27 13h26.24.700055 +0330,
,,,,74.71584239997901,,,,,,,,,74.70167400001083,74.71584239997901,,75.35013679997064,75.35015109996311,75.40080040006433,75.40080040006433,75.40080040006433,,,,,,,,,,,,56,26,,,,,,,,,,,
