learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,gain_reward,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.024519699974916875,0.040970099973492324,0.040970099973492324,2.190015299944207,space,2.1393246001098305,None,,,,,,,,,,,,,,,,,,,,,,,,,629778,001,1,2024-05-27_16h43.55.160,article1,2024.1.4,None,2024-05-27 16h44.02.019942 +0330,
0,0,0,0,2.2003758000209928,,,,,,,,,2.1907944000558928,2.2003758000209928,3.2964267999632284,3.1863042999757454,3.1863168999552727,3.2964267999632284,3.2964267999632284,3.2964267999632284,57,44,7.198603400029242,7.198603400029242,7.198603400029242,7.2989619000582024,8.207258200040087,8.207258200040087,8.207258200040087,8.299796600011177,8.299796600011177,9.198693700018339,10.198497000033967,10.188201899989508,None,,629778,001,1,2024-05-27_16h43.55.160,article1,2024.1.4,None,2024-05-27 16h44.02.019942 +0330,
,,,,10.549422399955802,,,,,,,,,10.535414800047874,10.549422399955802,11.60288669995498,11.53544939996209,11.535466199973598,11.60288669995498,11.60288669995498,11.60288669995498,52,51,15.548749699955806,15.548749699955806,15.548749699955806,15.615428299992345,16.549470699974336,16.549470699974336,16.549470699974336,16.61619359999895,16.61619359999895,,,,,51,,,,,,,,,
