training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.004303100053220987,0.01866830000653863,0.01866830000653863,1.023349600029178,space,0.9996100999414921,None,,,,,,,,,782908,001,1,2024-05-28_15h22.20.468,article1,2024.1.4,None,2024-05-28 15h22.28.917269 +0330,
,,,,1.0364262000657618,,,,,,,,,1.0246973000466824,1.0364262000657618,,2.022339000017382,2.0223797000944614,,,,,,,,,,,,
