learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,key_resp_2.stopped,polygon_2.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.04227299999911338,0.06240110006183386,0.06240110006183386,7.3710844001034275,space,7.303075899952091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764945,001,1,2024-05-27_22h49.31.773,article1,2024.1.4,None,2024-05-27 22h49.40.666778 +0330,
0,0,0,0,,,,,7.394262000103481,,,,,,,,,7.372090500080958,7.394262000103481,8.383867700002156,8.383900900022127,8.548744200030342,8.548744200030342,8.548744200030342,54,82,12.393844800069928,12.393844800069928,12.393844800069928,12.561960100079887,13.396386700100265,13.396386700100265,13.396386700100265,13.561925200046971,13.561925200046971,14.410720500047319,15.41116730007343,15.401336200069636,None,,,,,,,,,,,,,,,,,,,764945,001,1,2024-05-27_22h49.31.773,article1,2024.1.4,None,2024-05-27 22h49.40.666778 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.751467699999921,15.761571800103411,15.761571800103411,17.050858300062828,space,1.2796319000190124,None,,,,,,,,,,,,764945,001,1,2024-05-27_22h49.31.773,article1,2024.1.4,None,2024-05-27 22h49.40.666778 +0330,
,,,,,,,,17.06155610003043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.051709500025027,17.06155610003043,18.147845400031656,18.05015290004667,18.050177700002678,18.147845400031656,18.147845400031656,18.147845400031656,22.06183740007691,22.16304500005208,23.062834900105372,,,,,,,,,
