learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,reward_A2,reward_C,gain_reward,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.04170439997687936,0.08662199997343123,0.08662199997343123,3.13524749991484,space,3.008993599913083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,393708,001,1,2024-05-27_20h39.24.611,article1,2024.1.4,None,2024-05-27 20h39.35.231032 +0330,
0,0,0,0,3.1597305999603122,,,,,,,,,3.1382207999704406,3.1597305999603122,4.147959899972193,4.14798010000959,4.426411299966276,4.426411299966276,4.426411299966276,71,56,8.159610699978657,8.159610699978657,8.159610699978657,8.427284399978817,9.1610878999345,9.1610878999345,9.1610878999345,9.427094299928285,9.427094299928285,10.175912900012918,11.209166600019671,11.18785999994725,None,,,,,393708,001,1,2024-05-27_20h39.24.611,article1,2024.1.4,None,2024-05-27 20h39.35.231032 +0330,
,,,,11.56057490000967,,,,,,,,,11.551865699933842,11.56057490000967,12.547940399963409,12.547969399951398,12.680141099961475,12.680141099961475,12.680141099961475,,,16.57630670000799,16.57630670000799,16.57630670000799,16.693242899957113,17.5767733999528,17.5767733999528,17.5767733999528,17.69339469994884,17.69339469994884,,,,,12.680141099961475,49,30,30,,,,,,,,,
