learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,participant,session,learning_type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.02140019997023046,0.03128869994543493,0.03128869994543493,4.221706199925393,space,4.173205700004473,None,,,,,,,,,,,,,,,,,,,,,,841037,001,1,2024-05-27_12h20.54.962,article1,2024.1.4,None,2024-05-27 12h21.06.329426 +0330,
0,0,0,0,4.242759299930185,,,,,,,,,4.222316300030798,4.242759299930185,5.231730600004084,5.2317496000323445,5.372683099936694,5.372683099936694,5.372683099936694,34,49,9.227425399934873,9.227425399934873,9.227425399934873,9.37770339997951,10.228093800018542,10.228093800018542,10.228093800018542,10.23114639997948,None,,,,841037,001,1,2024-05-27_12h20.54.962,article1,2024.1.4,None,2024-05-27 12h21.06.329426 +0330,
1,0,1,0,10.595254299929366,,,,,,,,,10.582331100013107,10.595254299929366,11.231030900031328,11.231047799927182,11.29793499992229,11.29793499992229,11.29793499992229,47,40,15.227514300029725,15.227514300029725,15.227514300029725,15.310988000012003,16.22803819994442,16.22803819994442,16.22803819994442,16.231471700011753,None,,,,841037,001,1,2024-05-27_12h20.54.962,article1,2024.1.4,None,2024-05-27 12h21.06.329426 +0330,
2,0,2,0,16.594788199989125,,,,,,,,,16.580324599985033,16.594788199989125,17.231271700002253,17.23128900001757,17.31433319998905,17.31433319998905,17.31433319998905,63,54,21.227637300034985,21.227637300034985,21.227637300034985,21.327615199959837,22.227924900013022,22.227924900013022,22.227924900013022,22.231294499943033,left,0.42530779994558543,0.10382710001431406,,841037,001,1,2024-05-27_12h20.54.962,article1,2024.1.4,None,2024-05-27 12h21.06.329426 +0330,
3,0,3,0,22.594728199997917,,,,,,,,,22.58053779997863,22.594728199997917,23.229339299956337,23.229354899958707,23.296840999973938,23.296840999973938,23.296840999973938,69,31,27.22735649999231,27.22735649999231,27.22735649999231,27.310641099931672,28.226915500010364,28.226915500010364,28.226915500010364,28.22891730000265,None,,,,841037,001,1,2024-05-27_12h20.54.962,article1,2024.1.4,None,2024-05-27 12h21.06.329426 +0330,
,,,,28.594277799944393,,,,,,,,,28.58212909998838,28.594277799944393,29.230510500026867,29.230532399960794,,,,,,,,,,,,,,,,,93,,,,,,,,,
