learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.005175899947062135,0.015698399976827204,0.015698399976827204,0.372893700026907,space,0.35147029999643564,None,,,,,,,,,,,,,,,,504608,001,2024-05-27_01h17.35.311,article1,2024.1.4,None,2024-05-27 01h17.40.113946 +0330,
0,0,0,0,0.3847761999350041,,,,,,,,,0.37387290003243834,0.3847761999350041,1.3830980999628082,1.3831231000367552,1.5065289000049233,1.5065289000049233,1.5065289000049233,5.38202200003434,5.38202200003434,5.38202200003434,5.5151463999645784,6.383454599999823,6.383454599999823,6.383684400003403,None,504608,001,2024-05-27_01h17.35.311,article1,2024.1.4,None,2024-05-27 01h17.40.113946 +0330,
,,,,6.750895999954082,,,,,,,,,6.735894000041299,6.750895999954082,7.385925099952146,7.3860863000154495,7.474080299958587,7.474080299958587,7.474080299958587,,,,,,,,,,,,,,,,
