learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,left_learning_reward.stopped,right_learning_reward.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007921700016595423,0.013180000009015203,0.013180000009015203,0.6638679999159649,space,0.6377890000585467,None,,,,,,,,,,,,,,,,,,,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
0,0,0,0,0.6770967999473214,,,,,,,,,0.6646532999584451,0.6770967999473214,1.745350299985148,1.660513999988325,1.6605253999587148,1.745350299985148,1.745350299985148,1.745350299985148,5.677620599977672,5.677620599977672,5.677620599977672,5.7442046999931335,6.66538329992909,right,1.630586100043729,0.0796944999601692,,,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
1,0,1,0,7.032224699971266,,,,,,,,,7.017211399972439,7.032224699971266,,7.667332399985753,7.667356199934147,7.7393772000214085,7.7393772000214085,7.7393772000214085,11.66573150001932,11.66573150001932,11.66573150001932,11.748464499949478,12.666176699916832,None,,,12.66600829991512,12.66600829991512,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
2,0,2,0,13.464802099973895,,,,,,,,,13.452923999982886,13.464802099973895,,13.666366299963556,13.666385199991055,13.727894600015134,13.727894600015134,13.727894600015134,17.6653449999867,17.6653449999867,17.6653449999867,17.731924599967897,18.665324999950826,None,,,18.665184499928728,18.665184499928728,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
3,0,3,0,19.033548199920915,,,,,,,,,19.01756359997671,19.033548199920915,,19.665552799939178,19.66556979995221,19.730789799941704,19.730789799941704,19.730789799941704,23.66555839998182,23.66555839998182,23.66555839998182,23.731966799939983,24.66543199995067,None,,,24.665286700008437,24.665286700008437,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
4,0,4,0,25.03236499999184,,,,,,,,,25.017190199927427,25.03236499999184,,25.667623599991202,25.667662699939683,25.7380439999979,25.7380439999979,25.7380439999979,29.664747599978,29.664747599978,29.664747599978,29.74792019999586,30.66541429993231,None,,,30.66518319991883,30.66518319991883,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
5,0,5,0,31.032061100006104,,,,,,,,,31.016849200008437,31.032061100006104,,31.665624400018714,31.6656419999199,31.720519899972714,31.720519899972714,31.720519899972714,35.66527429991402,35.66527429991402,35.66527429991402,35.731589299975894,36.66479399998207,None,,,36.66464309999719,36.66464309999719,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
6,0,6,0,37.03242559998762,,,,,,,,,37.017508000019006,37.03242559998762,,37.666754200006835,37.66682939999737,37.72434620000422,37.72434620000422,37.72434620000422,41.665139699936844,41.665139699936844,41.665139699936844,41.7327651999658,42.66511569998693,None,,,42.664781100000255,42.664781100000255,077675,001,2024-05-27_01h28.10.648,article1,2024.1.4,None,2024-05-27 01h28.15.006485 +0330,
,,,,43.03142429993022,,,,,,,,,43.0166841999162,43.03142429993022,,43.666974299936555,43.66701169998851,43.733446599915624,43.733446599915624,43.733446599915624,47.66565380000975,47.66565380000975,47.66565380000975,47.747898699948564,,,,,,,,,,,,,,
