learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,polygon_2.stopped,left_image_2.stopped,right_image_2.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.051071600057184696,0.0663502000970766,0.0663502000970766,25.336130500072613,space,25.253768900060095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583549,001,1,2024-05-27_23h07.59.853,article1,2024.1.4,None,2024-05-27 23h08.31.531383 +0330,
0,0,0,0,,,,,25.343863400048576,,,,,,,,,25.337102200021036,25.343863400048576,26.51176360005047,26.332426300039515,26.33244900009595,26.51176360005047,26.51176360005047,26.51176360005047,67,50,30.359674700070173,30.359674700070173,30.359674700070173,30.511356600094587,31.361222800100222,31.361222800100222,31.361222800100222,31.511602799990214,31.511602799990214,32.376685000024736,33.40961730002891,33.38584740005899,None,,,,,,,,,,,,,,,,,,,,583549,001,1,2024-05-27_23h07.59.853,article1,2024.1.4,None,2024-05-27 23h08.31.531383 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86723620002158,33.878276300034486,33.878276300034486,34.96583870006725,space,1.0805160000454634,None,,,,,,,,,,,,,583549,001,1,2024-05-27_23h07.59.853,article1,2024.1.4,None,2024-05-27 23h08.31.531383 +0330,
,,,,,,,,34.97721070004627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.966710500069894,34.97721070004627,36.125809899996966,35.9655299000442,35.96555160009302,36.125809899996966,36.125809899996966,36.125809899996966,39.978331400081515,40.9785045000026,41.12769680004567,41.12769680004567,,,,,,,,,
