learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.011958300019614398,0.026877199998125434,0.026877199998125434,1.4373078999342397,space,1.3927493999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653689,001,1,2024-05-27_23h19.22.419,article1,2024.1.4,None,2024-05-27 23h19.33.967752 +0330,
0,0,0,0,,,,,1.4592995999846607,,,,,,,,,1.438298299908638,1.4592995999846607,2.450109799974598,2.450136699946597,2.643124899943359,2.643124899943359,2.643124899943359,40,57,6.443252299912274,6.443252299912274,6.443252299912274,6.643298099981621,7.444402499939315,7.444402499939315,7.444402499939315,7.643776600016281,7.643776600016281,8.476060400018468,9.49242039991077,9.469920999952592,None,,,,,,,,,,,,,,653689,001,1,2024-05-27_23h19.22.419,article1,2024.1.4,None,2024-05-27 23h19.33.967752 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.831561799976043,9.84335270000156,9.84335270000156,24.61655549996067,space,14.762474000104703,None,,,,,,,653689,001,1,2024-05-27_23h19.22.419,article1,2024.1.4,None,2024-05-27 23h19.33.967752 +0330,
,,,,,,,,24.626252299989574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.617511000018567,24.626252299989574,,25.61607180000283,25.616103200009093,,,,,,,,,,
