learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,left_polygon.started,right_polygon.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.011287500034086406,0.021101900027133524,0.021101900027133524,1.2893994000041857,space,1.2498603001004085,None,,,,,,,,,,,,,,,500190,001,2024-05-26_22h35.09.410,article1,2024.1.4,None,2024-05-26 22h35.17.097216 +0330,
0,0,0,0,1.2990167000098154,,,,,,,,,1.2906784999649972,1.2990167000098154,2.4825966999633238,2.28299989993684,2.283028900041245,2.4825966999633238,2.4825966999633238,2.4825966999633238,2.4825966999633238,2.4825966999633238,6.296393699944019,right,3.792182400007732,None,500190,001,2024-05-26_22h35.09.410,article1,2024.1.4,None,2024-05-26 22h35.17.097216 +0330,
1,0,1,0,6.632124900002964,,,,,,,,,6.616864899988286,6.632124900002964,7.72821740002837,7.616503200028092,7.616537499940023,7.72821740002837,7.72821740002837,7.72821740002837,7.72821740002837,7.72821740002837,8.132884899969213,right,0.3762843000004068,None,500190,001,2024-05-26_22h35.09.410,article1,2024.1.4,None,2024-05-26 22h35.17.097216 +0330,
2,0,2,0,8.465541300014593,,,,,,,,,8.450086900033057,8.465541300014593,9.61447859997861,9.449385300045833,9.449411600013264,9.61447859997861,9.61447859997861,9.61447859997861,9.61447859997861,9.61447859997861,9.706956299953163,right,1.7833236999576911,None,500190,001,2024-05-26_22h35.09.410,article1,2024.1.4,None,2024-05-26 22h35.17.097216 +0330,
3,0,3,0,10.048951999982819,,,,,,,,,10.034548299969174,10.048951999982819,11.141253300011158,11.032737600035034,11.032761999987997,11.141253300011158,11.141253300011158,11.141253300011158,11.141253300011158,11.141253300011158,11.236378300003707,right,1.0120307999895886,None,500190,001,2024-05-26_22h35.09.410,article1,2024.1.4,None,2024-05-26 22h35.17.097216 +0330,
4,0,4,0,11.565275299944915,,,,,,,,,11.549912499962375,11.565275299944915,,12.556939500034787,12.556968600023538,12.67539480002597,12.67539480002597,12.67539480002597,12.67539480002597,12.67539480002597,14.67921660002321,right,1.9508963000262156,None,500190,001,2024-05-26_22h35.09.410,article1,2024.1.4,None,2024-05-26 22h35.17.097216 +0330,
